"","Cluster1","Cluster2","Cluster3"
"kac201803105_americanus",0.00185,0.99525,0.0031
"kac201808181_terrestris",0.001,9e-04,0.9981
"kac201808183_terrestris",0.001,0.001,0.9987
"kac201808184_terrestris",0.001,8e-04,0.99895
"kac201908252_fowleri",0.99895,6e-04,0.001
"kac202_fowleri",0.999,0.00045,0.000950000000000001
"kac203_fowleri",0.999,5e-04,0.000950000000000001
"kac204_fowleri",0.9981,0.00085,0.001
"kac205_terrestris",0.5249,0.0595,0.41555
"kac206_americanus",0.0025,0.68555,0.31195
"kac207_americanus",0.0021,0.5972,0.4008
"kac208_americanus",0.0013,0.68305,0.31545
"kac209_terrestris",0.0795,0.3887,0.53165
"kac210_terrestris",0.00205,0.38535,0.61265
"kac211_terrestris",0.381,0.08425,0.5347
"kac212_terrestris",0.03655,0.0079,0.95575
"kac213_terrestris",0.0252,0.0048,0.9702
"kac214_terrestris",0.14935,0.0426,0.80825
"kac215_terrestris",0.49245,0.16335,0.3442
"kac217_terrestris",0.001,0.00215,0.99685
"kac218_terrestris",0.04945,0.0058,0.945
"kac219_terrestris",0.00205,0.00265,0.99535
"kac220_americanus",0.0078,0.70325,0.28915
"kac221_americanus",0.11965,0.6908,0.1894
"kac223_terrestris",0.0219,0.01385,0.96445
"kac224_terrestris",0.00515,0.03725,0.9575
"kac225_terrestris",0.13235,0.00115,0.8663
"kac226_fowleri",0.9838,0.00115,0.0149
"kac230_terrestris",0.0769,0.00375,0.9194
"kac232_terrestris",0.0061,0.0724,0.92145
"kac233_terrestris",0.001,0.001,0.99815
"kac234_terrestris",0.00125,0.016,0.9826
"kac236_terrestris",0.001,0.00145,0.99745
"kac237_terrestris",0.001,0.001,0.998
"kac238_terrestris",0.001,0.001,0.99805
"kac239_terrestris",0.00735,0.0018,0.99075
"kac240_fowleri",0.90455,0.001,0.09435
"kac241_fowleri",0.999,9e-04,0.001
"kac242_americanus",0.00315,0.934,0.06305
"kac244_fowleri",0.85475,0.0178,0.12735
"kac38_terrestris",0.001,0.0055,0.99345
"kac39_terrestris",0.001,0.0065,0.9926
"kac40_terrestris",0.0019,0.0389,0.95915
"kac44_terrestris",0.00305,0.0461,0.9509
"kac45_terrestris",0.017,0.05425,0.9288
"kac48_terrestris",0.02995,0.0071,0.96285
"kac49_terrestris",0.00215,0.00865,0.989
"kac50_terrestris",0.0021,0.001,0.9968
"kac65_terrestris",0.0014,0.001,0.9973
"kac70_americanus",0.02015,0.97725,0.00265
"kac74_terrestris",0.001,0.000950000000000001,0.99855
"kac75_terrestris",0.0063,0.0257,0.96805
"kac78_americanus",9e-04,0.99895,0.001
"kac80_americanus",0.001,0.998,0.001
"kac81_americanus",0.0013,0.9975,0.00105
"kac82_americanus",0.001,0.999,0.001
"kac83_americanus",0.001,0.99845,9e-04
"kac84_americanus",0.001,0.99815,0.001
"kac86_americanus",0.001,0.9989,0.001
"kac87_americanus",0.001,0.99825,0.001
"kac89_americanus",0.000950000000000001,0.9989,0.001
"kac90_americanus",0.001,0.9981,0.001
"kac91_americanus",0.00075,0.999,0.000950000000000001
"kac92_americanus",0.001,0.75685,0.24225
"kac93_americanus",0.001,0.99625,0.00285
"kac94_americanus",0.001,0.99795,0.00115
"kac95_americanus",0.001,0.9905,0.0083
"kac96_americanus",0.001,0.9985,0.001
"kac97_americanus",0.001,0.99855,0.001
"kac98_americanus",0.0014,0.9966,0.002
"kac99_americanus",0.001,0.998,0.001
"msb100800_woodhousii",0.99535,0.0021,0.0025
"msb104644_americanus",0.0016,0.99745,0.001
"msb104731_woodhousii",0.97345,0.0249,0.00175
"msb75646_woodhousii",0.99015,0.0051,0.00475
"t1020_terrestris",0.1675,0.00165,0.8308
"t1030_terrestris",0.0018,0.001,0.99775
"t1040_terrestris",0.0172,0.0011,0.98165
"t2004_americanus",0.00225,0.9257,0.072
"t2015_americanus",0.001,0.9977,0.00155
"t2020_americanus",0.00195,0.94805,0.0501
"t2040_americanus",0.0084,0.9859,0.00585
"t2043_americanus",0.00385,0.9392,0.057
"t3040_fowleri",0.9781,0.001,0.0211
"utep18705_woodhousii",0.9914,0.00715,0.00125
"utep19941_fowleri",0.8894,0.0704,0.04025
"utep19943_fowleri",0.984,0.00295,0.0132
"utep19947_terrestris",0.0096,0.0226,0.96795
"utep20105_woodhousii",0.99235,0.0048,0.003
"utep20482_woodhousii",0.9019,0.0017,0.0966
"utep20921_americanus",0.00185,0.99385,0.0044
"utep21886_woodhousii",0.998,0.001,0.001
