id,at1-clust1,at1-clust2,at2-clust1,at2-clust2,ag-clust1,ag-clust2,ag-clust3
kac136_terrestris,0.0589,0.9411,0.94975,0.05025,0.94125,0.001,0.05785
kac191_terrestris,0.0609,0.9391,0.9375,0.0625,0.9712,0.001,0.02785
kac75_terrestris,0.0615,0.9385,0.93135,0.06865,0.9317,0.0141,0.05435
kac190_terrestris,0.06795,0.93205,0.9251,0.0749,0.8336,0.0827,0.0838
kac103_terrestris,0.06905,0.93095,0.9221,0.0779,0.9309,0.05815,0.0109
kac112_terrestris,0.0692,0.9308,0.95235,0.04765,0.9627,0.001,0.0364
kac40_terrestris,0.0716,0.9284,0.9242,0.0758,0.92305,0.00115,0.0756
aht3997_terrestris,0.07215,0.92785,0.91125,0.08875,0.84055,0.07685,0.08255
kac108_terrestris,0.08005,0.91995,0.86145,0.13855,0.91755,0.00285,0.07965
aht2456_terrestris,0.08055,0.91945,0.86425,0.13575,0.88115,0.003,0.11585
aht3421_terrestris,0.1243,0.8757,0.8763,0.1237,0.8999,0.0395,0.0605
kac104_terrestris,0.12795,0.87205,0.96235,0.03765,0.885,0.00445,0.11065
aht3419_terrestris,0.1378,0.8622,0.7914,0.2086,0.80995,0.05375,0.13625
kac210_terrestris,0.31015,0.68985,0.6907,0.3093,0.6386,0.01305,0.34845
kac111_americanus,0.55155,0.44845,0.4424,0.5576,0.4804,0.03785,0.4817
kac207_americanus,0.60255,0.39745,0.3872,0.6128,0.42915,0.02805,0.54295
kac206_americanus,0.6092,0.3908,0.40445,0.59555,0.39955,0.0173,0.583
kac220_americanus,0.73,0.27,0.25245,0.74755,0.2686,0.01085,0.7206
kac208_americanus,0.73685,0.26315,0.25915,0.74085,0.29945,0.00685,0.69385
kac92_americanus,0.7873,0.2127,0.1983,0.8017,0.22575,0.0009,0.77365
kac173_americanus,0.86655,0.13345,0.12055,0.87945,0.183,0.001,0.81615
kac172_americanus,0.8947,0.1053,0.1312,0.8688,0.03775,0.0282,0.934
kac242_americanus,0.913,0.087,0.05285,0.94715,0.0413,0.0043,0.9543
t2004_americanus,0.9254,0.0746,0.0477,0.9523,0.03135,0.00145,0.96725
kac176_americanus,0.94395,0.05605,0.0437,0.9563,0.0431,0.00485,0.9519
t2040_americanus,0.9526,0.0474,0.0076,0.9924,0.0226,0.04765,0.9301
aht1975_americanus,0.9606,0.0394,0.02385,0.97615,0.0271,0.003,0.9698
aht4373_americanus,0.96455,0.03545,0.00915,0.99085,0.001,0.05795,0.94125
inhs17016_americanus,0.97095,0.02905,0.0168,0.9832,0.0011,0.05625,0.9425
aht3459_americanus,0.97915,0.02085,0.00285,0.99715,0.0201,0.0051,0.97515
t2020_americanus,0.97995,0.02005,0.06755,0.93245,0.06105,0.001,0.938
kac139_americanus,0.9942,0.0058,0.0008,0.9992,0.00045,0.0004,0.999
kac116_americanus,0.99585,0.00415,0,1,0.00045,0,0.999
hera10255_americanus,0.9962,0.0038,0.001,0.999,0.001,0.0224,0.97655
kac2018021704_americanus,0.99665,0.00335,0,1,0,0,0.999
t2043_americanus,0.99705,0.00295,0.02575,0.97425,0.0576,0.00385,0.93865
kac70_americanus,0.99715,0.00285,0.00585,0.99415,0.001,0.0179,0.9808
utep20921_americanus,0.998,0.002,0.0087,0.9913,0.00605,0.01325,0.9807
aht3461_americanus,0.99805,0.00195,0.0133,0.9867,0.00085,0.0299,0.96945
kac2018021706_americanus,0.9982,0.0018,0.0008,0.9992,0.0015,0,0.998
kac93_americanus,0.99895,0.00105,0.001,0.999,0.001,0,0.99895
aht3460_americanus,0.999,0.001,0.0003,0.9997,0.00045,0.001,0.99805
aht3463_americanus,0.999,0.001,0.0003,0.9997,0.001,0,0.999
hera10239_americanus,0.999,0.001,0.001,0.999,0.001,0.0009,0.99815
hera10350_americanus,0.999,0.001,0.0005,0.9995,0.001,0.00045,0.99895
hera15787_americanus,0.999,0.001,0.001,0.999,0.001,0.04715,0.9522
inhs21799_americanus,0.999,0.001,0.002,0.998,0.001,0.00085,0.99845
kac2018021701_americanus,0.999,0.001,0,1,0.001,0.0014,0.99745
kac2018021705_americanus,0.999,0.001,0.001,0.999,0.0026,5.00E-05,0.9969
kac86_americanus,0.999,0.001,0.001,0.999,0,0,0.999
kac95_americanus,0.999,0.001,0.002,0.998,5.00E-05,0,0.999
kac96_americanus,0.999,0.001,0,1,0.0001,0,0.999
kac98_americanus,0.999,0.001,0.0019,0.9981,0.00315,0.001,0.9963
kac99_americanus,0.999,0.001,0.0009,0.9991,0.001,0.00015,0.9988
t2015_americanus,0.999,0.001,0.001,0.999,0.001,0,0.999
aht3462_americanus,0.99905,0.00095,0,1,0.00075,0.0008,0.99895
kac107_americanus,0.99905,0.00095,0,1,0.0003,0,0.999
hera10248_americanus,0.9991,0.0009,0.00095,0.99905,0.00095,0.01565,0.98355
kac110_americanus,0.9991,0.0009,0,1,0.0001,0.0001,0.999
kac91_americanus,0.9991,0.0009,0,1,0.001,5.00E-05,0.999
hera10372_americanus,0.99915,0.00085,0.001,0.999,0.001,0.0005,0.99895
kac78_americanus,0.99915,0.00085,0.00065,0.99935,0.00085,5.00E-05,0.999
hera10233_americanus,0.99925,0.00075,0,1,0.00095,0,0.999
kac87_americanus,0.99945,0.00055,0,1,0.0006,0.0005,0.999
kac105_americanus,0.9997,0.0003,0,1,0.0007,0,0.999
kac97_americanus,0.9997,0.0003,0,1,0,0,0.999
kac101_americanus,0.99975,0.00025,0.001,0.999,0.00015,0,0.999
kac106_americanus,0.99975,0.00025,0,1,0.0008,0,0.999
kac81_americanus,0.99975,0.00025,0.0001,0.9999,0.001,0.001,0.99825
kac201803104_americanus,0.99985,0.00015,0.0011,0.9989,0.001,0,0.999
kac201803105_americanus,0.9999,0.0001,0.00095,0.99905,0.001,0.00135,0.99775
kac201803101_americanus,0.99995,5.00E-05,0,1,0.00105,0.001,0.9982
kac94_americanus,0.99995,5.00E-05,5.00E-05,0.99995,0.00035,0,0.999
kac2018021707_americanus,1,0,0.0009,0.9991,0.001,0.002,0.99705
kac82_americanus,1,0,0,1,0.0008,0,0.999
kac83_americanus,1,0,0,1,0,0,0.999
kac84_americanus,1,0,0,1,5.00E-05,0,0.999
kac89_americanus,1,0,0,1,0.0001,0,0.999
kac90_americanus,1,0,0,1,0.001,0,0.999
msb104644_americanus,1,0,0.0005,0.9995,0.0019,0.001,0.9972
aht3998_terrestris,,,0.86285,0.13715,0.7312,0.16835,0.1004
kac138_americanus,,,0.40405,0.59595,0.001,0.55975,0.4396
kac141_terrestris,,,0.999,0.001,0.84505,0.1541,0.001
kac142_terrestris,,,0.993,0.007,0.7861,0.20825,0.00565
kac145_terrestris,,,0.999,0.001,0.8727,0.12665,0.00095
kac153_terrestris,,,0.96725,0.03275,0.8471,0.12335,0.02975
kac158_terrestris,,,0.998,0.002,0.8387,0.15925,0.00225
kac161_terrestris,,,0.98085,0.01915,0.64245,0.35545,0.0021
kac177_americanus,,,0.15315,0.84685,0.0088,0.1382,0.85295
kac189_terrestris,,,0.6229,0.3771,0.52715,0.1515,0.3212
kac214_terrestris,,,0.99435,0.00565,0.8483,0.15075,0.001
aht3413_fowleri,,,,,0.63705,0.2797,0.0834
aht3658_fowleri,,,,,0,0.99925,0
aht3665_fowleri,,,,,0.001,0.999,0
hera10025_fowleri,,,,,0,0.99905,0
hera10396_fowleri,,,,,0,0.9951,0.00475
hera10493_fowleri,,,,,0.00185,0.9946,0.0037
hera20415_woodhousii,,,,,0.0807,0.9098,0.00935
hera20514_fowleri,,,,,0.001,0.99895,0.0001
kac137_fowleri,,,,,0.0041,0.9951,0.001
kac157_fowleri,,,,,0.0455,0.95315,0.00135
kac165_fowleri,,,,,0.0001,0.999,0
kac174_fowleri,,,,,0.001,0.999,0.0006
kac175_fowleri,,,,,0,0.999,0
kac179_fowleri,,,,,0.0489,0.95025,0.0009
