method,interval,taxon,coverage
ecoevolity,ci,T1,0.96
ecoevolity,ci,T2,0.97
ecoevolity,ci,root,0.95
ecoevolity,hpd,T1,0.97
ecoevolity,hpd,T2,0.95
ecoevolity,hpd,root,0.99
