ci_covered,ci_lower,ci_upper,ess,hpd_covered,hpd_lower,hpd_upper,interval,mean,method,red_fac,replicate,taxon,true,seed
False,0.001251197482016822,0.003376052553979425,1671.5219630267707,False,0.001385107412340096,0.0034241411780350822,0.95,0.0025261333173320732,ecoevolity,1.0002007966856603,0,root,0.0011175658959692747,seed1234
False,0.0009085131690271543,0.0013843807091660743,2106.0392410377126,False,0.000901560715052952,0.0013738616905717,0.95,0.0011410142658005887,ecoevolity,1.0001040087533382,0,T1,0.001964972857523616,seed1234
False,0.0005064106600213914,0.0006971972494528245,2742.7091818862327,False,0.0005060554416124039,0.0006956783860034471,0.95,0.0006011338282379364,ecoevolity,0.999674314874938,0,T2,0.0008203855299292507,seed1234
True,0.0008428915722008003,0.001749831688947542,121.13963026061754,True,0.0008271675771571022,0.001726254769107223,0.95,0.001245664717701832,starbeast,1.0349895461798144,0,root,0.0011175658959692747,seed1234
False,0.0011890464502981536,0.001496000236512092,320.81074184114664,False,0.0011863594692179096,0.00149257705035976,0.95,0.00133279260499378,starbeast,1.0042621730267591,0,T1,0.001964972857523616,seed1234
False,0.0005597101387347712,0.0007337776506375135,247.597197657462,False,0.0005584742628990947,0.000731934746083987,0.95,0.0006450876692905258,starbeast,0.9998940424431132,0,T2,0.0008203855299292507,seed1234
True,0.0006544803635320928,0.004099053939551873,4000.0,True,0.0005697517573317495,0.003864753500631418,0.95,0.0020068205491734358,ecoevolity,0.9996755027967908,1,root,0.002409740215753093,seed1234
False,0.0006869618535395077,0.0008674116936777176,4000.0,False,0.0006860130932973107,0.0008655315836399347,0.95,0.0007754011871053642,ecoevolity,1.0003892373166072,1,T1,0.0009584555482266774,seed1234
False,0.0008288427376590277,0.001023878084598982,4000.0,False,0.0008228021074515848,0.0010161967713163942,0.95,0.000920716377334377,ecoevolity,1.000056296755849,1,T2,0.0010748971018443225,seed1234
True,0.0016214851614938265,0.004053799426509285,119.20882109735577,True,0.0015386348004982498,0.0039329724946635496,0.95,0.0026851557892227378,starbeast,0.999961762899326,1,root,0.002409740215753093,seed1234
False,0.0006678390322138317,0.0008585821895896926,290.0173586412673,False,0.0006645096546970046,0.0008542821875501537,0.95,0.0007594513272956709,starbeast,1.004611054019372,1,T1,0.0009584555482266774,seed1234
False,0.0008174533993440548,0.0010350408512667382,277.544286708573,False,0.0008177130919082307,0.0010350408512667382,0.95,0.0009216779237821527,starbeast,1.007029081014588,1,T2,0.0010748971018443225,seed1234
True,0.0006180447377346431,0.004093056067113163,3338.1729655437152,True,0.00046180175891499803,0.003754196019041657,0.95,0.0020142334063969407,ecoevolity,1.0011698050852629,2,root,0.0027064962090970804,seed1234
False,0.0030673016846011355,0.0034249470740247336,3918.1874230198323,False,0.003064621145745134,0.003420561950852603,0.95,0.0032434664606493164,ecoevolity,1.000405101155204,2,T1,0.003877397682856782,seed1234
False,0.0006389719835547347,0.0008168895373912867,3561.7422479212946,False,0.0006369231107304567,0.0008130996428314492,0.95,0.0007261083253720912,ecoevolity,0.9999554403597049,2,T2,0.0009446231238656824,seed1234
True,0.0010286559946955883,0.00348735405300133,99.54956150542604,True,0.0009188007706767981,0.0033137756666908273,0.95,0.0020606772987694,starbeast,0.9999162780206726,2,root,0.0027064962090970804,seed1234
