ci_covered,ci_lower,ci_upper,ess,hpd_covered,hpd_lower,hpd_upper,interval,mean,method,red_fac,replicate,taxon,true,seed
True,0.0006527557450361781,0.003956221876507764,3606.556038943752,True,0.0005083376758232438,0.003638429147174925,0.95,0.001993386385381053,ecoevolity,1.001657503639813,0,root,0.0011175658959692747,seed1234
True,0.0014645028935423704,0.00494941720460765,1848.7981707350384,True,0.0013922252129027536,0.004737137162325035,0.95,0.0029494159347106122,ecoevolity,1.0011654268412362,0,T1,0.001964972857523616,seed1234
True,0.0005663965321455915,0.0020204023464504488,2195.806205959491,True,0.0005140215745866889,0.001903294608795881,0.95,0.0011645816830265314,ecoevolity,1.0005920208417447,0,T2,0.0008203855299292507,seed1234
True,0.0006490438278172523,0.004058556109821481,3489.0012047517494,True,0.0004525301447151117,0.0037383642999566685,0.95,0.002002836092868823,ecoevolity,1.000391768183015,1,root,0.002409740215753093,seed1234
False,0.001024154739428378,0.003506700605361698,4000.0,True,0.0009523480284001996,0.003394427296511229,0.95,0.00207825306495863,ecoevolity,0.9999343952334098,1,T1,0.0009584555482266774,seed1234
False,0.001078461248106081,0.003638505198327894,4000.0,True,0.0009742547666068953,0.003475352379083608,0.95,0.0021753344422135892,ecoevolity,0.9999840015535272,1,T2,0.0010748971018443225,seed1234
True,0.0006502142042908067,0.004104509237187727,4000.0,True,0.00041766535164280185,0.0037387558176323592,0.95,0.0020033400091998307,ecoevolity,0.9998784221666748,2,root,0.0027064962090970804,seed1234
True,0.0014159723793456492,0.004837008716517255,4000.0,True,0.0012413742428786462,0.004535687043433184,0.95,0.0028705584795559198,ecoevolity,0.9998542652624328,2,T1,0.003877397682856782,seed1234
True,0.0004164439368997403,0.0018555760627863398,3871.2374328646083,True,0.0003776496896961148,0.0017472188985551648,0.95,0.0009980635316416953,ecoevolity,1.0004121208727523,2,T2,0.0009446231238656824,seed1234
True,0.0006452770697750102,0.004046024541887436,4000.0,True,0.0005376557800745609,0.003809059115296685,0.95,0.0020173465867659897,ecoevolity,1.0019875904604751,3,root,0.002350793011991925,seed1234
True,0.0013442405566043056,0.00451417127717325,2353.182287763605,True,0.0011846591273249748,0.004246097589591583,0.95,0.0026906682093990994,ecoevolity,1.002302894640628,3,T1,0.0027976845143889875,seed1234
True,0.0009638173538443537,0.0033301200796314865,2579.706110301297,True,0.0008597038766830075,0.003139455335621564,0.95,0.0019663274790192773,ecoevolity,1.0013589881859293,3,T2,0.0017278582084938408,seed1234
True,0.0006640857630248689,0.004033849882164415,3818.763788021334,True,0.0005639263740063026,0.0037767520552803155,0.95,0.0020014796352025824,ecoevolity,1.0008021426757483,4,root,0.0009877928707427736,seed1234
True,0.0012165780449448973,0.004261022778569984,4000.0,True,0.0010952866425082374,0.004047421406570849,0.95,0.002521050868923701,ecoevolity,0.9999433872793696,4,T1,0.002893985644662282,seed1234
True,0.0004367585070949185,0.001881321346102136,4000.0,True,0.0003627784497404264,0.0017505330990127295,0.95,0.0010108229968953104,ecoevolity,0.9996741622867701,4,T2,0.001555189431017756,seed1234
True,0.0006406367021473228,0.004172779130398457,4000.0,True,0.0005260066399154987,0.003856587093495639,0.95,0.0020162694830010604,ecoevolity,0.9999440735997508,5,root,0.002382991015026096,seed1234
True,0.00119535859754756,0.003953746239486454,3467.868799036973,True,0.0010906189147734872,0.0037452771744521047,0.95,0.002362803732497693,ecoevolity,0.9999195975308242,5,T1,0.0024304321900664267,seed1234
True,0.0013370301733842491,0.0042566673728166565,4000.0,True,0.001160331872290402,0.004037332490047368,0.95,0.002554991282246064,ecoevolity,0.9996165052272458,5,T2,0.002311135566863007,seed1234
True,0.0006548859592742811,0.00410691129306342,4000.0,True,0.0004998751289128286,0.003804042043392165,0.95,0.0020292950872380783,ecoevolity,0.999696424363963,6,root,0.0032143248891731892,seed1234
True,0.000644516468676966,0.002538758078379344,4000.0,True,0.0005896837805569993,0.002401704483781859,0.95,0.001411900079553169,ecoevolity,0.999591364321333,6,T1,0.0010625840781626936,seed1234
True,0.0013742501412496164,0.004644001278214278,3052.541856765494,True,0.0012760229715952714,0.004488099696016306,0.95,0.0027619017513655893,ecoevolity,1.0002729016187557,6,T2,0.0026172559803851947,seed1234
True,0.0006400316306347349,0.0041307013142785785,4000.0,True,0.00039845833443712635,0.0036716700836907494,0.95,0.0020089737165236163,ecoevolity,0.9999774142251152,7,root,0.002311904457168545,seed1234
True,0.0005082576001507284,0.00221324622089602,4000.0,True,0.00041941084417853865,0.0020408994352409927,0.95,0.0011962039895247914,ecoevolity,0.9997145731339914,7,T1,0.0016962625385786307,seed1234
True,0.0011390269190952648,0.004013875927357615,4000.0,True,0.0010537197386916003,0.0038459446475163322,0.95,0.0023792352714657942,ecoevolity,0.9999008669013284,7,T2,0.00224956953194122,seed1234
True,0.0006573430423933356,0.004121665575349698,4000.0,True,0.00045593024154589045,0.003781101794004965,0.95,0.0020316297077661275,ecoevolity,1.0000349038851617,8,root,0.0014837078284543415,seed1234
True,0.001025941917325876,0.003713862006109021,3776.515938216641,True,0.0009589351124572275,0.0035742091906066616,0.95,0.002161961564190743,ecoevolity,0.9996660882725124,8,T1,0.0015836488543519715,seed1234
True,0.0010509636733767077,0.003751133914129101,3511.7802718888397,True,0.0009868336537575434,0.0036396843745262492,0.95,0.002217474193381718,ecoevolity,0.9998747807196959,8,T2,0.0017716222078338,seed1234
