ci_covered,ci_lower,ci_upper,ess,hpd_covered,hpd_lower,hpd_upper,interval,mean,method,red_fac,replicate,true,seed
True,0.0026024092272392057,0.004659353464625832,2279.650039328385,True,0.0026893717173476763,0.004724937450267669,0.95,0.0036193339054289213,ecoevolity,1.0004994255685644,0,0.0043835739315530725,seed1234
True,0.0034759023535440342,0.004597748917440857,123.38768686004776,True,0.0034939919378078428,0.004611140756465407,0.95,0.0040502607180453115,starbeast,1.136101454990558,0,0.0043835739315530725,seed1234
True,0.0333614955482158,0.03722610729434225,3787.6731896609695,True,0.033587498633647565,0.03741708982109592,0.95,0.03553526174202419,ecoevolity,1.0001751612768814,1,0.03544497654951094,seed1234
True,0.032992875907452125,0.03643070942862317,140.85558071263537,True,0.0330440380249369,0.03646487562109179,0.95,0.03477400211692421,starbeast,1.1715344240860586,1,0.03544497654951094,seed1234
True,0.1066774584517384,0.11177222416158708,3448.2256425084456,True,0.106783729217342,0.11181606481200472,0.95,0.1094028022160292,ecoevolity,1.0007753286675856,2,0.10822624972172563,seed1234
True,0.10658575203983853,0.11146625314467297,216.9642515569172,True,0.10656861619065552,0.11141346125241296,0.95,0.10912408477967206,starbeast,1.019330491653414,2,0.10822624972172563,seed1234
True,0.01211817102519125,0.0158904785683209,3085.2231065919973,True,0.012406318737817851,0.01609706737775074,0.95,0.01437541167145011,ecoevolity,1.0013725167755247,3,0.014490861402101415,seed1234
True,0.013386155768837685,0.015554269216669853,135.4026657515449,True,0.01344502728311732,0.015595962841313303,0.95,0.014471521695789122,starbeast,1.0302152933968471,3,0.014490861402101415,seed1234
True,0.06106160398679745,0.0653814017211325,3474.6616386533838,True,0.06129012983834462,0.06552243230215682,0.95,0.06344668708426572,ecoevolity,1.0005467083964368,4,0.06511957501726992,seed1234
True,0.06165932021132861,0.06535728110596109,170.1837132820732,True,0.06165932021132861,0.06535507332225604,0.95,0.06356390912903688,starbeast,1.022218342509809,4,0.06511957501726992,seed1234
True,0.03581609433615357,0.03979600613854392,3874.3356166066333,True,0.03612216171225477,0.03999293027542225,0.95,0.03809057949650276,ecoevolity,0.9997117263059772,5,0.03848683679164541,seed1234
True,0.03638237009042231,0.039660845067622255,140.9683190705943,True,0.03639703152323479,0.03966494009278166,0.95,0.038146538908801514,starbeast,1.141859710356566,5,0.03848683679164541,seed1234
True,0.034206037771933144,0.03811131148192249,3484.494449895495,True,0.034429064816426234,0.038233403611113326,0.95,0.0364395841904633,ecoevolity,0.9999165670503928,6,0.03535265134595888,seed1234
True,0.03485006339262706,0.037735078918674884,168.03767830040002,True,0.03501980829616855,0.037839318149513995,0.95,0.036431278139178735,starbeast,1.0022651339145874,6,0.03535265134595888,seed1234
True,0.07647699260777982,0.08118070157236558,4000.0,True,0.07666273814706542,0.08125914309401977,0.95,0.07907777381806844,ecoevolity,0.9997240771000376,7,0.07804966872344306,seed1234
True,0.07672997918344826,0.08133083985705829,145.2904835308,True,0.0767271225223013,0.0813169535111075,0.95,0.07912043371999951,starbeast,1.016888637509235,7,0.07804966872344306,seed1234
True,0.0373827720597724,0.041332365888083464,4000.0,True,0.03759182425624336,0.04147001061112878,0.95,0.03959005146264525,ecoevolity,0.9996819262387091,8,0.04028234151464384,seed1234
True,0.03785640551940251,0.041166069164880234,150.07924908671734,True,0.0380605518767102,0.041345571487678805,0.95,0.03958169847975345,starbeast,1.2754833415692133,8,0.04028234151464384,seed1234
True,0.033162711065099805,0.037195022196231185,4000.0,True,0.033565355747923624,0.03745234959918423,0.95,0.03548715840464255,ecoevolity,1.0000661896449143,9,0.0353280450365036,seed1234
True,0.033998036651194344,0.03708666109888013,141.91529592890782,True,0.03410306344354532,0.037155798056951135,0.95,0.035750565574986244,starbeast,1.0268389372180398,9,0.0353280450365036,seed1234
True,0.03783634361202425,0.04181197052920548,4000.0,True,0.03798628115458797,0.041900175430020406,0.95,0.04005533635898485,ecoevolity,0.9995903629337578,10,0.04015740351672345,seed1234
True,0.03875010606390107,0.04169893868339148,169.45286143154732,True,0.038923904604735896,0.041792815330216164,0.95,0.040373093443122884,starbeast,1.117393152290834,10,0.04015740351672345,seed1234
True,0.007147122039691449,0.015691213539880844,186.34131188016067,True,0.008576338898923612,0.016129085729672477,0.95,0.013595634648836213,ecoevolity,1.0129394709152495,11,0.014724288700888754,seed1234
