method,interval,taxon,coverage
ecoevolity,ci,T1,0.39
ecoevolity,ci,T2,0.44
ecoevolity,ci,root,0.94
ecoevolity,hpd,T1,0.38
ecoevolity,hpd,T2,0.42
ecoevolity,hpd,root,0.95
starbeast,ci,T1,0.41
starbeast,ci,T2,0.5
starbeast,ci,root,0.89
starbeast,hpd,T1,0.39
starbeast,hpd,T2,0.47
starbeast,hpd,root,0.9
