ci_covered,ci_lower,ci_upper,ess,hpd_covered,hpd_lower,hpd_upper,interval,mean,method,red_fac,replicate,taxon,true,seed
True,0.0004305218517487388,0.0018660240409707613,3692.215720251496,True,0.0004394431408795466,0.0018706737292384548,0.95,0.0010858437731821721,ecoevolity,1.000611839302863,0,root,0.0011175658959692747,seed1234
True,0.0016716826555503105,0.0020213836024741924,3604.3109662085308,True,0.00167875604819215,0.0020271758884913725,0.95,0.001842007636119945,ecoevolity,1.000005050271384,0,T1,0.001964972857523616,seed1234
True,0.0007666091939413202,0.0009547531748366199,4000.0,True,0.0007659647374141082,0.0009525385156316873,0.95,0.0008568662285354452,ecoevolity,0.9999748058918204,0,T2,0.0008203855299292507,seed1234
True,0.000523655014579632,0.00156394550712588,103.84719782926338,True,0.0005668836434150931,0.0015838304523256447,0.95,0.0011127460481591962,starbeast,1.0025743724924028,0,root,0.0011175658959692747,seed1234
True,0.0016951205993826848,0.002089442777974816,469.96056216273865,True,0.0016881395520433851,0.00207775373926702,0.95,0.0018815239002142614,starbeast,1.0008635942128106,0,T1,0.001964972857523616,seed1234
True,0.0007464387698183684,0.000954918634914324,272.1549650381703,True,0.0007445873151203727,0.0009518883774661725,0.95,0.0008440026640343487,starbeast,1.0021369294150893,0,T2,0.0008203855299292507,seed1234
True,0.0006659712003324095,0.0040717175163847005,3496.004632871455,True,0.00040367906526944257,0.003692228421608526,0.95,0.002011174050702933,ecoevolity,0.999783141665885,1,root,0.002409740215753093,seed1234
True,0.0008578583573403742,0.0010611498747462608,3577.928972602296,True,0.0008601054498766387,0.0010619421208279119,0.95,0.000957045629957824,ecoevolity,1.000018701863122,1,T1,0.0009584555482266774,seed1234
True,0.0010482390145577878,0.0012644212816072086,3360.736662395448,True,0.0010481335532112612,0.0012632223176751696,0.95,0.0011531004848170695,ecoevolity,0.9999944287893858,1,T2,0.0010748971018443225,seed1234
True,0.0013900224073881936,0.003975127961585125,108.77536093467323,True,0.0013136440378265163,0.003850661078779365,0.95,0.0025326152591426372,starbeast,1.025314025122093,1,root,0.002409740215753093,seed1234
