ci_covered,ci_lower,ci_upper,ess,hpd_covered,hpd_lower,hpd_upper,interval,mean,method,red_fac,replicate,true,seed
True,0.0024989920925072434,0.004622833313187097,2205.854892980053,True,0.002490661995382875,0.0045900830218128545,0.95,0.0034673046635686163,ecoevolity,1.0003225415588108,0,0.0043835739315530725,seed1234
True,0.0038113782994289437,0.004797903247756496,211.3210456511716,True,0.0037864965895101203,0.0047637005207388896,0.95,0.004293518631372243,starbeast,1.003608798812288,0,0.0043835739315530725,seed1234
True,0.010446904111579385,0.01909849914071756,210.3018945600832,True,0.013112444840603771,0.019682762596675858,0.95,0.01701793758892833,ecoevolity,1.0082501922376004,1,0.0190098750477731,seed1234
True,0.016730452375225666,0.019024951579858368,189.2375803343238,False,0.016694727020833116,0.01898023224921996,0.95,0.01780735582354154,starbeast,1.0004030596404083,1,0.0190098750477731,seed1234
True,0.07026810625127716,0.07479275569804486,4000.0,True,0.07058432317845252,0.07497648652910281,0.95,0.07276266374879514,ecoevolity,0.9997267143313394,2,0.07308484418617224,seed1234
True,0.0702365125397576,0.07451083166194794,198.79530553683063,True,0.07023115600705357,0.07449485811202061,0.95,0.07238792895622431,starbeast,1.0634327849447596,2,0.07308484418617224,seed1234
True,0.04065241572926576,0.04471901891786316,3373.319480849298,True,0.040906373577691925,0.044885500271203374,0.95,0.04295426063957459,ecoevolity,1.001487408833189,3,0.04280274987515832,seed1234
True,0.03999348343700977,0.044359706594798334,147.8599659754831,True,0.03999249562306535,0.04434855540520557,0.95,0.04202334581416742,starbeast,1.0544090927075431,3,0.04280274987515832,seed1234
True,0.013022955326244428,0.016712545773490666,3580.70040206158,True,0.013350870204271588,0.016889082786956833,0.95,0.015171890820870313,ecoevolity,1.0004897651721074,4,0.01459066710444241,seed1234
True,0.013720042209200914,0.015825319402156847,305.93161325800753,True,0.013752340603260412,0.01584545313099359,0.95,0.014793563385356168,starbeast,0.9998958850843814,4,0.01459066710444241,seed1234
