ci_covered,ci_lower,ci_upper,ess,hpd_covered,hpd_lower,hpd_upper,interval,mean,method,red_fac,replicate,taxon,true,seed
True,0.0006741228805266067,0.003824742163528351,4000.0,True,0.0005799193383046355,0.0035762301787763866,0.95,0.0019565349540976475,ecoevolity,1.0002857522217192,0,root,0.0011175658959692747,seed1234
True,0.001125585460310385,0.003830515632017729,2806.1198613965526,True,0.0010592805583269302,0.003709885788616861,0.95,0.002289040773028866,ecoevolity,1.000206840922062,0,T1,0.001964972857523616,seed1234
False,0.0010650561471275037,0.0036789134343752725,3033.7103023257146,False,0.0009927603653750098,0.0035090123404968115,0.95,0.002199534846485741,ecoevolity,1.0000539161177635,0,T2,0.0008203855299292507,seed1234
True,0.0006377980762766593,0.0041212241866282655,4000.0,True,0.00046266226175693126,0.003775729314312475,0.95,0.00201299616989569,ecoevolity,0.9996740418609474,1,root,0.002018985332045553,seed1234
False,0.0009534259681703557,0.0033434780791789273,3845.488897482653,False,0.0008619949811935378,0.003110233786908585,0.95,0.0019420952155839802,ecoevolity,0.99960366476234,1,T1,0.004800941634702649,seed1234
True,0.0012961693403041952,0.004477419349724347,4000.0,True,0.0011517401952735019,0.0042272260314946495,0.95,0.002639365622207679,ecoevolity,0.9996204468530248,1,T2,0.002571585943528066,seed1234
True,0.0006347725081605669,0.004012239244623973,3865.655333046666,True,0.00043606165248207245,0.0037079901682998814,0.95,0.0020029328911524407,ecoevolity,1.0001104348598309,2,root,0.002306820947050671,seed1234
False,0.0007637606423311043,0.003178458632675443,4000.0,False,0.0006842778416465549,0.0029654383255165984,0.95,0.001726878407277085,ecoevolity,0.9996166648800038,2,T1,0.0004216826426026466,seed1234
True,0.0007567303307437724,0.003116222692415879,4000.0,True,0.0006187274417128029,0.002875010986739527,0.95,0.0017074232383245734,ecoevolity,1.0011675612385325,2,T2,0.0022349391616146128,seed1234
True,0.0006580030386112777,0.004084733569912621,4000.0,True,0.00048149339963598456,0.0037749266836522057,0.95,0.0020264382893235428,ecoevolity,1.0013104516529752,3,root,0.0027856007729355234,seed1234
True,0.0007500285471928891,0.0030575074054243513,3528.8677017475725,True,0.0006721808202972526,0.0028904618227326164,0.95,0.0016964685617873365,ecoevolity,1.0008871806388309,3,T1,0.002743095260137527,seed1234
True,0.0011572153045785946,0.004191320012962956,4000.0,True,0.00101905409992061,0.003980432608275096,0.95,0.002434308184105028,ecoevolity,1.0000252384581083,3,T2,0.0014098570657705767,seed1234
True,0.0007050602982175072,0.004024700651440411,4000.0,True,0.0005668215071158498,0.003779655641451519,0.95,0.0020101229873775678,ecoevolity,1.0003630365071152,4,root,0.003153965865575601,seed1234
False,0.0009785337775212928,0.0036561100534728327,3571.845069957065,False,0.0008418318744083582,0.0034572434444287673,0.95,0.002111327037472271,ecoevolity,1.0010100677746092,4,T1,0.0002404919249571458,seed1234
