method,interval,taxon,coverage
ecoevolity,ci,T1,0.78
ecoevolity,ci,T2,0.88
ecoevolity,ci,root,0.9
ecoevolity,hpd,T1,0.8
ecoevolity,hpd,T2,0.88
ecoevolity,hpd,root,0.9
