method,interval,taxon,coverage
ecoevolity,ci,T1,0.91
ecoevolity,ci,T2,0.96
ecoevolity,ci,root,0.91
ecoevolity,hpd,T1,0.93
ecoevolity,hpd,T2,0.96
ecoevolity,hpd,root,0.92
