ci_covered,ci_lower,ci_upper,ess,hpd_covered,hpd_lower,hpd_upper,interval,mean,method,red_fac,replicate,taxon,true,seed
True,0.0005407189644539127,0.002348845841928675,2740.854737756726,True,0.0005390988785335983,0.0023401360167494604,0.95,0.00140147343726637,ecoevolity,1.0000824036226372,0,root,0.0011175658959692747,seed1234
False,0.00160013489937621,0.001957757732116507,2914.8771519175298,False,0.0015983114263540866,0.0019537540095675783,0.95,0.0017806957848419977,ecoevolity,0.99986050301091,0,T1,0.001964972857523616,seed1234
True,0.0007760510557856516,0.0009715725411195102,4000.0,True,0.0007722228634426427,0.0009662046770192847,0.95,0.0008697460756862482,ecoevolity,0.9996321958518392,0,T2,0.0008203855299292507,seed1234
True,0.0006899446156284582,0.0015783226375392482,185.11092493009838,True,0.0006694489825899503,0.0015503841570918874,0.95,0.0011017542977744617,starbeast,1.0009510361466896,0,root,0.0011175658959692747,seed1234
True,0.0016323517155805252,0.0020727769239720986,1092.355198426918,True,0.0016268783389336721,0.0020636776353487028,0.95,0.001845267415879144,starbeast,1.0009542813225991,0,T1,0.001964972857523616,seed1234
True,0.0007865770404313072,0.0010362928347913553,597.896024023681,True,0.000782154176880124,0.0010294939065607688,0.95,0.0009041101154963972,starbeast,1.0009728492961905,0,T2,0.0008203855299292507,seed1234
True,0.0006898499842354677,0.004257864844141947,2774.5613864761467,True,0.0005757891518124546,0.0039729249918422655,0.95,0.0020776095098802906,ecoevolity,1.0013699921868664,1,root,0.002018985332045553,seed1234
False,0.004889923558239699,0.0054107166687214275,4000.0,False,0.004884502647224599,0.0054040634162260135,0.95,0.005145506294153957,ecoevolity,1.000119307430221,1,T1,0.004800941634702649,seed1234
False,0.002626117712612852,0.002975256888282295,3330.7542272469145,False,0.0026235120035032946,0.002969095533238193,0.95,0.0027982640335758747,ecoevolity,0.9996250205340004,1,T2,0.002571585943528066,seed1234
True,0.0011886381073426375,0.002922334446324664,212.69569829446002,True,0.001138873563191325,0.002863111717825076,0.95,0.0020378534073166353,starbeast,1.021302550835714,1,root,0.002018985332045553,seed1234
True,0.004560322235134626,0.005499658025093214,2103.619004549446,True,0.004555889412033132,0.0054933724229095345,0.95,0.005007103836116047,starbeast,1.001028705047576,1,T1,0.004800941634702649,seed1234
True,0.002482429661451781,0.003054191551377825,1027.886521725125,True,0.0024668946085210875,0.003032936009197733,0.95,0.002752188647823059,starbeast,1.0015654548258046,1,T2,0.002571585943528066,seed1234
True,0.0006349084697948131,0.004240410754881776,4000.0,True,0.00036097541263037885,0.0037231129681027492,0.95,0.0020135355847069637,ecoevolity,1.0004165877876507,2,root,0.002306820947050671,seed1234
True,0.00036784820243434586,0.00050207694959766,4000.0,True,0.0003649012847204541,0.0004973059964195727,0.95,0.0004316791298687384,ecoevolity,1.0004955873752874,2,T1,0.0004216826426026466,seed1234
True,0.0020705648387954697,0.0023784803587028128,2760.2789859615423,True,0.0020699551337133803,0.0023764178799578328,0.95,0.0022240229834512826,ecoevolity,0.9998445441481794,2,T2,0.0022349391616146128,seed1234
True,0.0009626516077115168,0.004212436651010224,134.88373053765994,True,0.0009151608126659485,0.0041513732205286395,0.95,0.0023860287307859865,starbeast,1.001984846008341,2,root,0.002306820947050671,seed1234
True,0.0003668344533639322,0.0005214345682574544,182.5490423535561,True,0.00035993482065325543,0.0005136555173841458,0.95,0.000438046946242255,starbeast,1.0032965741913715,2,T1,0.0004216826426026466,seed1234
True,0.001974102698038081,0.002458464410389419,829.8745574907506,True,0.0019772372957619945,0.0024600594625693627,0.95,0.0022037103050277164,starbeast,0.999982950945448,2,T2,0.0022349391616146128,seed1234
True,0.0006469638671290588,0.004115221958094557,4000.0,True,0.0005478760471742927,0.0038162894025982243,0.95,0.002029673938846289,ecoevolity,1.0004297017604091,3,root,0.0027856007729355234,seed1234
True,0.0025559240798722783,0.0028943721173098212,3963.0400216594,True,0.002548967619585975,0.002882355736966189,0.95,0.0027222066847388967,ecoevolity,1.0001895368469509,3,T1,0.002743095260137527,seed1234
True,0.0012542856376278964,0.0014966384845267696,2784.727709256243,True,0.0012400397463272544,0.0014807958402178016,0.95,0.0013733633367876475,ecoevolity,0.9997605285147378,3,T2,0.0014098570657705767,seed1234
