ci_covered,ci_lower,ci_upper,ess,hpd_covered,hpd_lower,hpd_upper,interval,mean,method,red_fac,replicate,true,seed
True,0.003206657663464743,0.015821331785808794,3344.8656734040496,True,0.002739625666054809,0.014917123007020304,0.95,0.008367273721240886,ecoevolity,1.0001986022997449,0,0.0043835739315530725,seed1234
True,0.004794986436855324,0.022355742450213902,3973.850416108558,True,0.00410246572427183,0.02111351708958269,0.95,0.011996495229873177,ecoevolity,0.9999270939580938,1,0.0190098750477731,seed1234
True,0.0393744428838612,0.21049323112666493,4000.0,True,0.02715108557417131,0.18603560893257545,0.95,0.1015145541906796,ecoevolity,0.9999929789698652,2,0.07308484418617224,seed1234
True,0.019887962803879233,0.09822044933331593,4000.0,True,0.01711565070091376,0.09039329446089424,0.95,0.049805747989027774,ecoevolity,0.9999180491793732,3,0.04280274987515832,seed1234
False,0.015694989872683904,0.0719359779834287,3900.5797799146007,True,0.01304237601573382,0.06644157133105562,0.95,0.03769542691920784,ecoevolity,0.9999645209242068,4,0.01459066710444241,seed1234
True,0.00976778815390869,0.04486444017519935,3293.445644884799,True,0.008702943216026417,0.042715456620765466,0.95,0.02418666343522517,ecoevolity,0.9997153503698708,5,0.02122395797996756,seed1234
True,0.008393388828391513,0.03851236915416807,2927.843206838397,True,0.0070091071614701685,0.03569610435115012,0.95,0.020682647807820684,ecoevolity,1.0006129845493967,6,0.02307720243448285,seed1234
True,0.03360709848519707,0.18550690473471648,4000.0,True,0.024132598458176453,0.16328715943307026,0.95,0.08865376501462838,ecoevolity,1.0000383223073108,7,0.09672155561198527,seed1234
True,0.05147564736470428,0.27161750688260383,3726.3427535183587,True,0.04525775185430314,0.2550611195100512,0.95,0.13261554663864195,ecoevolity,0.9999342166061752,8,0.1257520202464878,seed1234
True,0.01132888031425474,0.052065676749283314,4000.0,True,0.009611577703667568,0.04817194161832265,0.95,0.02705265454381677,ecoevolity,0.9996361096569624,9,0.019081341286926026,seed1234
True,0.05297257404129743,0.2882182790814493,4000.0,True,0.04248602807820336,0.2577741396479574,0.95,0.13709984223047147,ecoevolity,0.9996520068194256,10,0.07335293324047164,seed1234
True,0.004181045957497238,0.02087551534355697,3671.4358010258293,True,0.003104840573506641,0.019162396946415184,0.95,0.011027906183872196,ecoevolity,1.0000981189369371,11,0.010314082679264359,seed1234
True,0.006462685308512449,0.0307676420995483,3711.204357619559,True,0.0057187074680223006,0.029135305887831295,0.95,0.016215764869536096,ecoevolity,0.9997367486455356,12,0.013691339239567562,seed1234
True,0.0235397164468792,0.11730956689755592,3264.3392324176148,True,0.017748954030479155,0.10621135264849306,0.95,0.05895176014664314,ecoevolity,1.0011446115943912,13,0.03997313445780819,seed1234
True,0.03633475481026612,0.1935262603222689,4000.0,True,0.029308520960971977,0.17251429916070055,0.95,0.09307245445494694,ecoevolity,1.000063228721165,14,0.09277089099732833,seed1234
True,0.0018495409315089407,0.01120310447098538,2917.236311337448,True,0.0013586904886150305,0.01002343225394427,0.95,0.0052693349767865705,ecoevolity,1.0004097568091048,15,0.003758060173177674,seed1234
True,0.032044798227743546,0.1575092760470643,4000.0,True,0.026243013431038808,0.1430698604035278,0.95,0.07847952999231295,ecoevolity,1.000084868976678,16,0.10291088853455577,seed1234
False,0.0036965147609331,0.015854620585582475,2762.6501520759703,False,0.003215495041733245,0.014805228591560485,0.95,0.0086559850627804,ecoevolity,0.9995494022678034,17,0.0026092176154840488,seed1234
True,0.03400535536266132,0.1738201235175624,4000.0,True,0.02498450758573799,0.15530589200483005,0.95,0.0855068488994684,ecoevolity,0.999644213512056,18,0.049436763987217865,seed1234
True,0.009897022407316831,0.046732481385210405,3863.2409135095522,True,0.008734735658935457,0.04382141225627144,0.95,0.02470458363097113,ecoevolity,1.0007619534431458,19,0.018297354640441424,seed1234
True,0.013625296503575308,0.06352329402119128,3269.9435179852253,True,0.010277788950338831,0.057085155040382994,0.95,0.032966844642590094,ecoevolity,1.0000098136430693,20,0.030344218842260514,seed1234
True,0.04726630734580314,0.2434322684284929,3972.054981734021,True,0.03873209667734123,0.22185891043512684,0.95,0.11918293706592675,ecoevolity,1.0003108982917492,21,0.11180926509767794,seed1234
True,0.038152823245699685,0.20934628091935192,4000.0,True,0.030610828292973274,0.1848774350740476,0.95,0.09948990427983646,ecoevolity,0.9996859819036704,22,0.08627041318675402,seed1234
True,0.03468845619125946,0.1833190556508129,3143.9873590917573,True,0.025695267531043654,0.16376611963173268,0.95,0.08811888328435093,ecoevolity,1.000122941231545,23,0.08126065894877749,seed1234
True,0.0242008207361064,0.10544327502637953,3756.596617566215,True,0.02152034997868608,0.09906263341781303,0.95,0.055768257430071515,ecoevolity,0.9999742467255932,24,0.060124953057199386,seed1234
True,0.0028336091514830327,0.01223921253300656,2705.5813695978572,True,0.0025732039081212588,0.011752807652762496,0.95,0.006639142012659284,ecoevolity,0.9996985645592724,25,0.005084877135229324,seed1234
True,0.003827642735903885,0.02135150206502036,2449.155332650094,True,0.0033838637564451482,0.02046150293755656,0.95,0.01139010511084092,ecoevolity,1.0030777645369409,26,0.009022307269732502,seed1234
True,0.052015422530582715,0.28842499541467204,3285.938675721113,True,0.039429502744871635,0.2558666632686077,0.95,0.13783378923703102,ecoevolity,0.9999318658271312,27,0.12268700804814832,seed1234
