method,interval,taxon,coverage
ecoevolity,ci,T1,0.11
ecoevolity,ci,T2,0.08
ecoevolity,ci,root,0.83
ecoevolity,hpd,T1,0.1
ecoevolity,hpd,T2,0.07
ecoevolity,hpd,root,0.83
starbeast,ci,T1,0.1
starbeast,ci,T2,0.09
starbeast,ci,root,0.95
starbeast,hpd,T1,0.1
starbeast,hpd,T2,0.08
starbeast,hpd,root,0.94
