ci_covered,ci_lower,ci_upper,ess,hpd_covered,hpd_lower,hpd_upper,interval,mean,method,red_fac,replicate,true,seed
True,0.002859313982139177,0.004971824626793396,2950.204628327873,True,0.002859313982139177,0.0049686031301931785,0.95,0.003899569351310619,ecoevolity,1.0016318916741096,0,0.0043835739315530725,seed1234
True,0.003965787324098231,0.004927547924824602,264.46108161506083,True,0.003946565222641069,0.004901097898847291,0.95,0.004434934667740114,starbeast,1.0000605328338952,0,0.0043835739315530725,seed1234
True,0.015429467777725888,0.019627401569744685,2506.758659308428,True,0.015669832555202087,0.0197164175615592,0.95,0.01797420907067317,ecoevolity,1.0010827999361147,1,0.0190098750477731,seed1234
True,0.01749806635703272,0.01962913104738275,196.2711502521406,True,0.017437973710724305,0.019554197184777414,0.95,0.01853305892520211,starbeast,1.0644629691018903,1,0.0190098750477731,seed1234
True,0.0703854966992106,0.07499205279043086,4000.0,True,0.07065059782992185,0.07510514714062799,0.95,0.07295830156526091,ecoevolity,1.0000222295642212,2,0.07308484418617224,seed1234
True,0.07040396857782434,0.07446568952030425,249.1891381927668,True,0.07049833729459437,0.07453499749383069,0.95,0.0725317625927692,starbeast,1.0015263170890891,2,0.07308484418617224,seed1234
True,0.040935595138523725,0.04501113392807634,3280.208634514517,True,0.041247653893284365,0.04522565975767698,0.95,0.0432568283862447,ecoevolity,1.0004785931426885,3,0.04280274987515832,seed1234
True,0.04020852381608826,0.044153361702844666,189.62446709164533,True,0.04028056352095215,0.04421205259328725,0.95,0.042172135071050415,starbeast,1.005293882909691,3,0.04280274987515832,seed1234
True,0.013203948952611844,0.0168505659722539,2383.796630820355,True,0.013348893659319872,0.01691936771842877,0.95,0.015295365919970116,ecoevolity,1.0009860665472798,4,0.01459066710444241,seed1234
True,0.013894214992583831,0.01591341946620297,362.5884369613348,True,0.013856024521615494,0.0158709368079163,0.95,0.014896862618347769,starbeast,1.003882662850465,4,0.01459066710444241,seed1234
True,0.0190077584276874,0.022624785056708903,2532.871993635684,True,0.019148048942912808,0.02270342688494621,0.95,0.021118733789507543,ecoevolity,0.999595562739614,5,0.02122395797996756,seed1234
True,0.019255446753314576,0.021601274099730318,290.33824367985716,True,0.019220775633504848,0.021542894420534947,0.95,0.020399057644114885,starbeast,1.0001134992663423,5,0.02122395797996756,seed1234
True,0.020694455251476108,0.0245032021224098,3260.3383464205194,True,0.020893162950293927,0.024587167772458143,0.95,0.0229278388839459,ecoevolity,1.0003745095837524,6,0.02307720243448285,seed1234
True,0.02183492109697157,0.02443938639456911,174.14051945707917,True,0.02179977598383889,0.02438889043536641,0.95,0.023151918483516644,starbeast,1.0006667601549244,6,0.02307720243448285,seed1234
True,0.0944853900142804,0.09928546983514157,4000.0,True,0.09466266998667916,0.0994123635430856,0.95,0.0970521860742246,ecoevolity,0.9999921077033848,7,0.09672155561198527,seed1234
True,0.09458203566466633,0.09919197460886968,253.2004478706342,True,0.0947392149889318,0.09930567541595238,0.95,0.09705047233100138,starbeast,1.0058976208812802,7,0.09672155561198527,seed1234
True,0.12080949933764362,0.12609240095223762,4000.0,True,0.1209343278169514,0.12617195322059274,0.95,0.12363848290472225,ecoevolity,1.0001358067357362,8,0.1257520202464878,seed1234
True,0.12006437778281208,0.12605487046945468,194.06844617094933,True,0.1203237891258216,0.1262017406392215,0.95,0.12324918946317788,starbeast,1.0009986133643545,8,0.1257520202464878,seed1234
True,0.017165171675943773,0.02109563581206532,4000.0,True,0.01754150607347161,0.021239431495708186,0.95,0.019508198454802776,ecoevolity,0.9999222918635128,9,0.019081341286926026,seed1234
True,0.018276125650170096,0.02068820484335674,228.59086853000775,True,0.01822699193193581,0.020621908761370333,0.95,0.01948718249715944,starbeast,0.9998859734136304,9,0.019081341286926026,seed1234
True,0.07232651716939761,0.07677867161721375,4000.0,True,0.07250951694696059,0.07689526243629967,0.95,0.07468981379960449,ecoevolity,0.9996048797432048,10,0.07335293324047164,seed1234
True,0.07227722153035189,0.07688623212734147,173.61595104265174,True,0.07242868266232416,0.07699399097175452,0.95,0.07460713748327136,starbeast,1.199151061270435,10,0.07335293324047164,seed1234
True,0.008160844449208136,0.012267303298157905,2183.898926216945,True,0.0085063240120497,0.01242564487063277,0.95,0.010668270825299432,ecoevolity,1.002241735197354,11,0.010314082679264359,seed1234
True,0.00942291574505785,0.011040976639775098,393.5424010593968,True,0.009438027452869618,0.011052995366481431,0.95,0.010219374922070151,starbeast,1.0017791313774618,11,0.010314082679264359,seed1234
True,0.012747417558973871,0.01649699440754758,3412.3506595286153,True,0.013054845318279079,0.0166432620633228,0.95,0.014993869734785554,ecoevolity,0.9996709606193362,12,0.013691339239567562,seed1234
True,0.012982650854058708,0.014817137097885472,452.42039923389353,True,0.012951070371852908,0.014779678463070187,0.95,0.013904215452268723,starbeast,1.0027213153869277,12,0.013691339239567562,seed1234
True,0.036530328966923965,0.04045008983238032,3171.0982361646265,True,0.03663881361371677,0.04051030937641163,0.95,0.03878067308233279,ecoevolity,0.9996884440276176,13,0.03997313445780819,seed1234
True,0.037712370637497286,0.04075805879353391,188.72919348916957,True,0.03777625528324508,0.0407922176603243,0.95,0.03926367699158477,starbeast,1.0000433600700591,13,0.03997313445780819,seed1234
True,0.0898916588738555,0.09464118024279676,3653.10338160161,True,0.09006426536014417,0.09471774029067227,0.95,0.09247416312236664,ecoevolity,1.0001969031599751,14,0.09277089099732833,seed1234
True,0.0894605937909199,0.09445647692866288,191.03090055521332,True,0.08974412772197525,0.09468535803402067,0.95,0.09227586516382252,starbeast,1.001572325699955,14,0.09277089099732833,seed1234
True,0.003023454601208752,0.004553723683172512,3441.7348218552565,True,0.002997497361859671,0.004516203214476119,0.95,0.0037718395457018643,ecoevolity,0.9999056103221609,15,0.003758060173177674,seed1234
True,0.003304632630372748,0.004081277366715199,288.3338907382568,True,0.003303436896394203,0.004077841146744034,0.95,0.0036710486301375477,starbeast,1.0020937585218292,15,0.003758060173177674,seed1234
True,0.09893299868380544,0.10396396696790956,4000.0,True,0.09906616259975247,0.10399996740634428,0.95,0.10162769040241887,ecoevolity,0.999818737271386,16,0.10291088853455577,seed1234
True,0.09836550494933953,0.1037215347328504,193.25346994040348,True,0.09853987363355644,0.10384781099777604,0.95,0.10130683167015213,starbeast,1.0050336306001673,16,0.10291088853455577,seed1234
True,0.0021843275313354373,0.0036759162642915283,3823.785824585079,True,0.002148048529396372,0.0036290404934429935,0.95,0.002913321305056445,ecoevolity,0.9999701901720088,17,0.0026092176154840488,seed1234
True,0.0020672613254672013,0.002756519291680155,313.78237447417035,True,0.00206177743584664,0.002747328739728385,0.95,0.002403539336326406,starbeast,1.0000179048779654,17,0.0026092176154840488,seed1234
True,0.047275422231308005,0.05150872775906625,4000.0,True,0.047460540287584715,0.051587371719401726,0.95,0.04967065864486233,ecoevolity,1.0021696367944255,18,0.049436763987217865,seed1234
True,0.04783874022294305,0.05137126981447705,187.09402116362625,True,0.047961972591927096,0.05146102541552863,0.95,0.04972740930464646,starbeast,1.0172454999100822,18,0.049436763987217865,seed1234
True,0.016250690285275038,0.01995437618088732,4000.0,True,0.016606508373157167,0.02012669451067383,0.95,0.018412949633771603,ecoevolity,1.0000329897084863,19,0.018297354640441424,seed1234
False,0.016022686404368516,0.0181944739758603,437.5878372194558,False,0.01597502409744406,0.01814421219829041,0.95,0.01710410853684829,starbeast,1.007231811741539,19,0.018297354640441424,seed1234
True,0.02763709215428001,0.03150225917496256,2912.832834231458,True,0.027919299665642303,0.031665915687621865,0.95,0.029904924923037056,ecoevolity,1.0001411004031449,20,0.030344218842260514,seed1234
True,0.02850007875713204,0.03134715190520472,199.8682199348227,True,0.028606450538397006,0.03141832432836657,0.95,0.029968889938508995,starbeast,1.0003372588789812,20,0.030344218842260514,seed1234
True,0.10798888027858472,0.11306423219298567,4000.0,True,0.10813398453189813,0.1131874272543062,0.95,0.11069792426709618,ecoevolity,0.9998131172604751,21,0.11180926509767794,seed1234
True,0.10825265571197452,0.11300295559007174,291.1230706340986,True,0.1083225324016136,0.11304309475651353,0.95,0.11066919872048267,starbeast,1.0112228560667729,21,0.11180926509767794,seed1234
True,0.08447450211482213,0.08917338799938535,3522.5322908386597,True,0.0846503218977331,0.0892706254456463,0.95,0.08703587442436382,ecoevolity,1.00023602008017,22,0.08627041318675402,seed1234
True,0.08496115658957065,0.08932570082326048,229.9755448389753,True,0.08511466294151697,0.08941468371902475,0.95,0.08729454154346282,starbeast,1.0177993710926143,22,0.08627041318675402,seed1234
