ci_covered,ci_lower,ci_upper,ess,hpd_covered,hpd_lower,hpd_upper,interval,mean,method,red_fac,replicate,taxon,true,seed
True,0.0006886778113753067,0.004091100530764262,3192.9396556543647,True,0.0005664127327119898,0.003819010223502418,0.95,0.002055705204276571,ecoevolity,0.9999473329306984,0,root,0.0011175658959692747,seed1234
True,0.001070492031488202,0.003736532727857136,2623.5840951246687,True,0.0008668357142957674,0.003471500182789705,0.95,0.0021623082923474825,ecoevolity,0.9998341651866912,0,T1,0.001964972857523616,seed1234
False,0.001146176246313789,0.003938889253552233,2812.6945240331706,False,0.0011029487715113015,0.0038410297829144014,0.95,0.0023159595015616033,ecoevolity,0.9997638784381546,0,T2,0.0008203855299292507,seed1234
True,0.0006592378185679255,0.004465666403209384,4000.0,True,0.0005198984145295736,0.004076565611446076,0.95,0.002116125308052576,ecoevolity,1.00013676443218,1,root,0.002018985332045553,seed1234
False,0.0010032664756230874,0.003703969691564598,4000.0,False,0.0008664849488361105,0.003460229100241176,0.95,0.0021456309705262747,ecoevolity,1.0000521334566608,1,T1,0.004800941634702649,seed1234
True,0.0013237116052701044,0.004813994228448298,3312.501602231692,True,0.001291086257041159,0.004709361207098554,0.95,0.002868765741678447,ecoevolity,1.000134707097695,1,T2,0.002571585943528066,seed1234
True,0.0006525982743851397,0.004049895775125104,3983.632282637292,True,0.0004525346119927848,0.0037337283339265257,0.95,0.0020204149943317804,ecoevolity,1.0000234714958105,2,root,0.002306820947050671,seed1234
False,0.0007125393133938689,0.0031227822059015603,4000.0,False,0.0005831928708017286,0.00286913371983532,0.95,0.001680212026896664,ecoevolity,0.999826448194945,2,T1,0.0004216826426026466,seed1234
True,0.0007124952016911027,0.0030686494947091514,3905.789633161887,True,0.0006235957351075866,0.002855194671035493,0.95,0.0016783766993165312,ecoevolity,1.0000635207936182,2,T2,0.0022349391616146128,seed1234
True,0.0006698542964839972,0.0041148963511432966,4000.0,True,0.0005567051116569714,0.003818929599947525,0.95,0.002027016435090085,ecoevolity,1.0008976959716973,3,root,0.0027856007729355234,seed1234
True,0.000759157593490021,0.003045175235860856,3753.119847291649,True,0.0006449977854583646,0.002847591426334361,0.95,0.001693725896763892,ecoevolity,1.000190589514639,3,T1,0.002743095260137527,seed1234
True,0.001166490560966025,0.0042822371494691735,3512.77657585242,True,0.0010900994866067833,0.004065529076256066,0.95,0.0024689331589794567,ecoevolity,1.000218050824932,3,T2,0.0014098570657705767,seed1234
True,0.0006701482758601719,0.004068296416842724,4000.0,True,0.0005226510098263412,0.0037356696465017307,0.95,0.0020054468366624933,ecoevolity,1.0013691384432342,4,root,0.003153965865575601,seed1234
False,0.000907241025858183,0.0034576918611203987,4000.0,False,0.0007862608364167709,0.0032648848668909826,0.95,0.001962008971731027,ecoevolity,1.0009365857169017,4,T1,0.0002404919249571458,seed1234
True,0.0009793240046974488,0.003706374048212197,4000.0,True,0.0008692440166777241,0.0034989989008175717,0.95,0.0021220470632328267,ecoevolity,0.9998579292878582,4,T2,0.002284441478837873,seed1234
True,0.0006361703394725738,0.004119927214302385,4000.0,True,0.00047414270108755177,0.003727061176739933,0.95,0.002006649066117191,ecoevolity,1.0006270048688788,5,root,0.002482657690156394,seed1234
True,0.0012242289287530935,0.004285806005239751,3277.141050493064,True,0.0010681691076416652,0.003966912246920307,0.95,0.0024781327550027947,ecoevolity,1.000669489748692,5,T1,0.0024760758602174913,seed1234
True,0.0008949111315752623,0.003292750059707287,3333.6809233417284,True,0.0008231438401404911,0.0031436887541633363,0.95,0.0018772132625902527,ecoevolity,1.0001004692105122,5,T2,0.0024683419751194502,seed1234
True,0.0006528182233836829,0.004130280130641426,3722.502991681271,True,0.0004971007495586091,0.003774654225317231,0.95,0.002018423125637785,ecoevolity,1.001252007586771,6,root,0.0016551705951510266,seed1234
True,0.0008996267548290476,0.003272670108568829,3632.7334245777374,True,0.000815570847237448,0.0031358732949530355,0.95,0.0018833207541056464,ecoevolity,0.9999655924802224,6,T1,0.00288525630282891,seed1234
True,0.0013222179151167212,0.0045301321469104795,3155.7386205394746,True,0.0011510338940815992,0.0042416432885829395,0.95,0.002662225921657949,ecoevolity,1.0006027761282323,6,T2,0.0028941260259331336,seed1234
True,0.0006493640946678865,0.004158605660707011,4000.0,True,0.00041622686398942445,0.003696013118993249,0.95,0.002006014488292344,ecoevolity,0.9998643225676844,7,root,0.0012627863600262865,seed1234
True,0.001165209365584499,0.004298323264813578,4000.0,True,0.0009926986184923712,0.0040228376746361426,0.95,0.002475027733983269,ecoevolity,0.999679996919724,7,T1,0.003296202729105036,seed1234
True,0.0007222004533467622,0.003197818820766047,4000.0,True,0.0006148004885573452,0.002956219413292773,0.95,0.0017392538054613056,ecoevolity,0.9996287562680832,7,T2,0.00212872769045752,seed1234
True,0.0006731766500485211,0.004127278124097049,4000.0,True,0.0005143437350857049,0.0037814144306942735,0.95,0.002021368126544,ecoevolity,0.9997230915493154,8,root,0.0009558242364176897,seed1234
True,0.0008502828758897132,0.003489977786990121,4000.0,True,0.0006886704356474158,0.0032480438266874905,0.95,0.0019277411017191825,ecoevolity,0.9999976793804864,8,T1,0.0018090283502516645,seed1234
True,0.0006443804970893556,0.00302607837404244,4000.0,True,0.0005021609815206227,0.002785759653545668,0.95,0.0016039494293532705,ecoevolity,0.9998420746678598,8,T2,0.001303728282342051,seed1234
