ci_covered,ci_lower,ci_upper,ess,hpd_covered,hpd_lower,hpd_upper,interval,mean,method,red_fac,replicate,taxon,true,seed
True,0.0006637447603044268,0.003951828849703481,3589.031408105299,True,0.0004752605342559874,0.003587919815058129,0.95,0.0019787964444634904,ecoevolity,1.0011949157359703,0,root,0.0011175658959692747,seed1234
True,0.0008428851363125613,0.0031019784094378127,2987.664342986816,True,0.0007369992673876688,0.0029466231029413267,0.95,0.0017804548582858535,ecoevolity,0.9996761071682458,0,T1,0.001964972857523616,seed1234
False,0.0012686238762140778,0.00439741594141695,3936.991534129127,False,0.0011401301811135634,0.004175863662532086,0.95,0.002554068551649445,ecoevolity,0.9997579187385992,0,T2,0.0008203855299292507,seed1234
True,0.0006421140591516647,0.004086191721910602,4000.0,True,0.0004903654180300613,0.003753157093643743,0.95,0.002018762274167046,ecoevolity,1.0007743716671245,1,root,0.0030122597718023275,seed1234
True,0.0011623895756341046,0.004560832959392388,3985.0028718282624,True,0.00104384254092354,0.0042916465183607784,0.95,0.002521012496138113,ecoevolity,0.9995811626363804,1,T1,0.0024590641932656287,seed1234
True,0.0008005185918164255,0.0033980758693332837,3737.576660584688,True,0.000645870699517979,0.003143924136062006,0.95,0.001845653686216069,ecoevolity,1.000840666860937,1,T2,0.0018148437146778343,seed1234
True,0.0006527494403727707,0.0041556219980930795,3500.732909413701,True,0.0005414502857494449,0.003882601615209153,0.95,0.0020074213155842472,ecoevolity,1.0003300555955357,2,root,0.002018985332045553,seed1234
False,0.0011109614230955973,0.003911139887366048,3521.4288886531567,False,0.000971463444967964,0.003650770208373315,0.95,0.0022587338927329754,ecoevolity,0.9999429252367336,2,T1,0.004800941634702649,seed1234
True,0.001153634797018832,0.004029367435674263,3793.891901662334,True,0.0010850522516927207,0.0038642922271577397,0.95,0.002350522552425037,ecoevolity,1.0011926934123467,2,T2,0.002571585943528066,seed1234
True,0.0006626282472364946,0.004098652914642778,4000.0,True,0.0005031064755413817,0.0037901551658455603,0.95,0.0020090201214661104,ecoevolity,1.0005494668110555,3,root,0.001080109518788593,seed1234
True,0.0010433330192207767,0.0041406797604120645,3437.501705147309,True,0.0009219831329949492,0.0038465324602054603,0.95,0.002323956099968603,ecoevolity,0.999692717566427,3,T1,0.0017249684145824449,seed1234
True,0.0007624429764291848,0.003362321264111118,3788.724303525271,True,0.0006424804423619902,0.003110553537256861,0.95,0.0018194345925166703,ecoevolity,1.0005964419464155,3,T2,0.0013327375805099475,seed1234
True,0.0006624034092312245,0.0040969799077532395,4000.0,True,0.000475551142509555,0.003732880880911317,0.95,0.0020282217522085105,ecoevolity,1.0001486124945749,4,root,0.0008996096130802556,seed1234
True,0.0009425202841978039,0.00342519745604427,3467.848526754021,True,0.0007697242674260657,0.003210393651880452,0.95,0.0019747336494994787,ecoevolity,1.001860364929567,4,T1,0.0011201831222600665,seed1234
True,0.0013926864304263475,0.004852579364643209,4000.0,True,0.0012664940486506618,0.004681097496715928,0.95,0.002903889545507174,ecoevolity,1.0005962214083106,4,T2,0.002238296350304961,seed1234
True,0.0006254499943043781,0.004259560414923312,3684.1305645179937,True,0.0004432630282308785,0.003853087867992858,0.95,0.0020248158942411747,ecoevolity,0.9997619737038484,5,root,0.0020476421513658176,seed1234
True,0.0009791620008724746,0.003526916400423168,3064.9305571852105,True,0.0008371689770566175,0.003294496393386055,0.95,0.0020278633557474788,ecoevolity,1.0003128831047847,5,T1,0.002330042946257621,seed1234
False,0.0014703166189720155,0.0050012852370065536,3626.1682536848384,False,0.0012782899162545824,0.004739183297580664,0.95,0.002978523510879948,ecoevolity,0.9995936807046524,5,T2,0.0008035209521706818,seed1234
False,0.0006437589116818905,0.0041686024778496466,3723.786656226087,True,0.0005300070152215881,0.0038506453177871297,0.95,0.0020179487158084692,ecoevolity,0.9998665281806812,6,root,0.0006158010102417607,seed1234
True,0.0006041750640098714,0.003147333229245691,3402.315586952077,True,0.000470630276219829,0.002922715948986044,0.95,0.001597622108325557,ecoevolity,1.0006316115219185,6,T1,0.0018568623276991696,seed1234
True,0.0006156126367709772,0.0031689148199496825,2989.7493425971584,True,0.0005711312049158824,0.002990269623003809,0.95,0.0016018683957714707,ecoevolity,1.0010023999041913,6,T2,0.0028928777872157057,seed1234
True,0.0006509065534329808,0.004132416389901728,4000.0,True,0.00047942907348982834,0.0038001099564981045,0.95,0.0019929462887766924,ecoevolity,0.999728139435136,7,root,0.001985676405973278,seed1234
True,0.0006905044721805697,0.002993949508213454,4000.0,True,0.0006040254051999657,0.002814066988785289,0.95,0.001628798740334767,ecoevolity,1.0001974064085812,7,T1,0.0019748175160827822,seed1234
True,0.001163786235542978,0.004466066462817225,4000.0,True,0.0010000876371823368,0.004197895278972028,0.95,0.002560712216476309,ecoevolity,1.0003132593537725,7,T2,0.0015784247550333058,seed1234
True,0.0006661206461733078,0.00411572505923505,4000.0,True,0.0005342654837406952,0.003866305436143524,0.95,0.002017560287429612,ecoevolity,0.9998664352029302,8,root,0.0026916431321064283,seed1234
True,0.0007477670923531931,0.003502718970103917,4000.0,True,0.0006200110271607529,0.0032453192851789525,0.95,0.0018441467944635425,ecoevolity,0.9996774347730564,8,T1,0.0010728585061323167,seed1234
True,0.0007519896780804478,0.003479828058620007,4000.0,True,0.0005259929155758073,0.003155781791356315,0.95,0.001831602672706499,ecoevolity,0.9998938032458186,8,T2,0.0019267311850345566,seed1234
