ci_covered,ci_lower,ci_upper,ess,hpd_covered,hpd_lower,hpd_upper,interval,mean,method,red_fac,replicate,taxon,true,seed
True,0.0006348162882345822,0.0035984790452986944,3542.5807335729132,True,0.0004803474123329521,0.0033139879827968656,0.95,0.001816307651325896,ecoevolity,1.0012054514964708,0,root,0.0011175658959692747,seed1234
True,0.0007658642997139412,0.002850124255748585,3800.4389053392574,True,0.0006300797151924389,0.002623486502997256,0.95,0.0015980442538212868,ecoevolity,0.9999201784037124,0,T1,0.001964972857523616,seed1234
False,0.0014266542072020351,0.004718639612995956,3826.120737249478,False,0.0012567897883434534,0.004382140706267938,0.95,0.002802690966447896,ecoevolity,0.9996652245760071,0,T2,0.0008203855299292507,seed1234
True,0.0006561402093412697,0.004109688890582981,4000.0,True,0.0004590393064393882,0.0036706588067315408,0.95,0.001997521888011504,ecoevolity,1.0009554153440758,1,root,0.0030122597718023275,seed1234
True,0.0012355500390844015,0.0046220739804472225,3763.564771681733,True,0.0010199895791330883,0.004293935096888237,0.95,0.002623065093821925,ecoevolity,0.999857347324464,1,T1,0.0024590641932656287,seed1234
True,0.0006989660572864501,0.002942894952253959,3998.9388562995387,True,0.0006253111248340456,0.0027981957403515017,0.95,0.001614085475285187,ecoevolity,0.9997288747262554,1,T2,0.0018148437146778343,seed1234
True,0.0006311829844790551,0.0041000213053904,4000.0,True,0.0004434127834354907,0.0037189023160279205,0.95,0.0019951915080875567,ecoevolity,0.9997322309382798,2,root,0.002018985332045553,seed1234
False,0.0011222538088746562,0.00396708471905688,4000.0,False,0.0010739170326479737,0.003826403214655793,0.95,0.0022795371220693033,ecoevolity,1.0000311622321971,2,T1,0.004800941634702649,seed1234
True,0.0011329325170234006,0.003871441832388115,3703.996174764629,True,0.0010699857647756127,0.0037471064853800014,0.95,0.00226176342634697,ecoevolity,1.000613363557626,2,T2,0.002571585943528066,seed1234
True,0.0006548274250390635,0.004067208053889561,4000.0,True,0.000561139508404238,0.0037957449350874734,0.95,0.0020048265776748068,ecoevolity,1.0007114892680289,3,root,0.001080109518788593,seed1234
