method,interval,taxon,coverage
ecoevolity,ci,T1,0.945
ecoevolity,ci,T2,0.915
ecoevolity,ci,root,0.965
ecoevolity,hpd,T1,0.955
ecoevolity,hpd,T2,0.93
ecoevolity,hpd,root,0.975
