ci_covered,ci_lower,ci_upper,ess,hpd_covered,hpd_lower,hpd_upper,interval,mean,method,red_fac,replicate,true,seed
True,0.002974975200971365,0.013235490531186365,3672.07515294432,True,0.0025817270380531173,0.012281823388374172,0.95,0.007007714398921058,ecoevolity,0.9996704105968998,0,0.0043835739315530725,seed1234
True,0.007356324428880028,0.03879816045871464,4000.0,True,0.006239663270472447,0.035840330780255086,0.95,0.019635977781358747,ecoevolity,1.0005306773415816,1,0.01651115088235356,seed1234
True,0.004747132557017797,0.02362368492590596,3520.847910562087,True,0.003770764648989729,0.02186592148404296,0.95,0.012327224581448757,ecoevolity,1.0006099310927092,2,0.0190098750477731,seed1234
True,0.008704399256402323,0.044957868045241926,3838.831828292492,True,0.006946403367874564,0.04150566417364265,0.95,0.022662900001872877,ecoevolity,1.000934396637574,3,0.01878689193818637,seed1234
True,0.003225235302535182,0.01984412600870946,3240.0298409900843,True,0.002485966505710987,0.01835975268849265,0.95,0.010187874006448609,ecoevolity,1.0003784344055298,4,0.006736702778431058,seed1234
True,0.00477395743423532,0.02400440453435189,3671.506635848468,True,0.004309650545670047,0.02279170956805252,0.95,0.012611975328766655,ecoevolity,0.9997206396651304,5,0.006219928246744774,seed1234
True,0.046698153153142186,0.2860808975507657,3581.3780975703526,True,0.034677685090974394,0.2554696549921513,0.95,0.1339219547098898,ecoevolity,1.0000082034724538,6,0.1541529253623488,seed1234
True,0.009052844062506721,0.04789442303715615,4000.0,True,0.006888355367153586,0.04382321034786715,0.95,0.02356617168104549,ecoevolity,1.0009535878562297,7,0.0178174835186689,seed1234
True,0.025513878732550743,0.1497475653665701,4000.0,True,0.01904473109662504,0.13264585765312176,0.95,0.07071711652476281,ecoevolity,0.9997783856886329,8,0.041376078757723235,seed1234
True,0.0249773910516052,0.14795162186768807,4000.0,True,0.017290634828962186,0.12727043880671773,0.95,0.06800718636902059,ecoevolity,1.0008523154036322,9,0.06703455013511582,seed1234
True,0.0011169992381165218,0.004887982771938246,4000.0,True,0.0009402737127283268,0.004474134185165136,0.95,0.002511764767896265,ecoevolity,1.0003744916069621,10,0.0030081977717535914,seed1234
True,0.009802213268362944,0.050244444909666265,3456.2251708592894,True,0.007746014534067219,0.0458474132146716,0.95,0.024876529669049116,ecoevolity,0.9999448919302732,11,0.013630755477541535,seed1234
True,0.009694114481394182,0.04975613306447671,4000.0,True,0.007391548203872223,0.04506390277573297,0.95,0.025638292942568586,ecoevolity,0.999715151373614,12,0.0188833585755944,seed1234
True,0.027059339084437573,0.15823145184617876,3793.4533424692377,True,0.02137221302367531,0.14150166910927225,0.95,0.07393480406166637,ecoevolity,1.0005195881593698,13,0.053928864860286654,seed1234
True,0.03882202128207937,0.2397551270587457,4000.0,True,0.031593844621284874,0.2159343971278713,0.95,0.10795475843314664,ecoevolity,1.0002082828430316,14,0.11278052982021737,seed1234
True,0.020007443598747687,0.1026883323537231,4000.0,True,0.016053877414775677,0.09200143158896808,0.95,0.05029270820848273,ecoevolity,0.9996788310188583,15,0.021580127820560516,seed1234
True,0.02458121569493454,0.14347690603719096,3467.263397263641,True,0.01806551064423659,0.1270082972706356,0.95,0.0669267413722259,ecoevolity,1.0000986240826837,16,0.0428007686453933,seed1234
True,0.021866393010130405,0.12884028204098266,3113.818844186337,True,0.015386577839547163,0.11419694253235875,0.95,0.06033034435274093,ecoevolity,1.0006420856085592,17,0.0572783190794238,seed1234
True,0.052153420629870384,0.29344065992210233,3652.6134475944564,True,0.04261930020124997,0.2718323234843937,0.95,0.14198826775385978,ecoevolity,1.0000866574511031,18,0.11824356031026223,seed1234
True,0.0126801467974105,0.06920550160648906,3443.6145885803594,True,0.009767565845189128,0.06225022018837995,0.95,0.033662941323086434,ecoevolity,1.001458806189557,19,0.020648258266407142,seed1234
True,0.004387804944349604,0.02250645303693833,3241.8117010251726,True,0.003387770668481878,0.020540445311872383,0.95,0.011544783102861828,ecoevolity,0.99958548903321,20,0.011690750678542894,seed1234
True,0.013453026431030822,0.06998003829390871,4000.0,True,0.010498010450624557,0.06393927618591867,0.95,0.03426318690507231,ecoevolity,1.000708635866322,21,0.033649755636751474,seed1234
True,0.005182612936057215,0.02481822311490773,3983.539888026684,True,0.004695848253956214,0.02355680860258572,0.95,0.012929882004732048,ecoevolity,0.9997442576203168,22,0.009047510988015085,seed1234
True,0.01359572437600375,0.07368533645015175,3415.159838667015,True,0.0102251276860969,0.06620079244842685,0.95,0.036086581184328614,ecoevolity,1.00007243289431,23,0.03998970369766839,seed1234
True,0.012062276095785036,0.06039434066773919,4000.0,True,0.010349614828535659,0.0551750111782444,0.95,0.030332864746954624,ecoevolity,0.9996373601731668,24,0.03555733785750375,seed1234
True,0.011947237067132532,0.06362468781242946,4000.0,True,0.009468953487115506,0.05735968673424305,0.95,0.03081153645127142,ecoevolity,0.9995642031415825,25,0.012653506981304288,seed1234
True,0.013140665635002059,0.06852235344328217,4000.0,True,0.010143141574555406,0.06241212721492164,0.95,0.03382057865944445,ecoevolity,1.0004871379475455,26,0.01809966117717957,seed1234
True,0.023324154599134842,0.13604523754617465,3964.647393245767,True,0.017507180689464972,0.12253259330537278,0.95,0.0635309724761652,ecoevolity,0.9999988206812298,27,0.04347274888727443,seed1234
