method,interval,taxon,coverage
ecoevolity,ci,T1,0.885
ecoevolity,ci,T2,0.865
ecoevolity,ci,root,0.955
ecoevolity,hpd,T1,0.87
ecoevolity,hpd,T2,0.835
ecoevolity,hpd,root,0.965
