ci_covered,ci_lower,ci_upper,ess,hpd_covered,hpd_lower,hpd_upper,interval,mean,method,red_fac,replicate,taxon,true,seed
True,0.00048599768771913967,0.002099613847228367,3249.586083457178,True,0.0004531133233362905,0.002056780641788816,0.95,0.0012311070568723215,ecoevolity,1.0016698326328362,0,root,0.0011175658959692747,seed1234
True,0.0016515660495485705,0.0020043757143510046,3437.4413048284277,True,0.0016542891471496687,0.002006076074245968,0.95,0.001825396303818528,ecoevolity,1.001968970832792,0,T1,0.001964972857523616,seed1234
True,0.0007961708435679025,0.0009896429931492237,4000.0,True,0.0007934517493659275,0.0009843036766287476,0.95,0.0008887741550385027,ecoevolity,0.999547576356384,0,T2,0.0008203855299292507,seed1234
True,0.00038157669928101857,0.0013028500262893044,260.1038236872198,True,0.00035025227775003104,0.0012635283343612027,0.95,0.0008276231480659656,starbeast,0.9999084881586282,0,root,0.0011175658959692747,seed1234
True,0.001624246458592543,0.002170634668772332,2109.824128581903,True,0.0016077594915304522,0.002143987659456441,0.95,0.001878076868202825,starbeast,1.0000166146023302,0,T1,0.001964972857523616,seed1234
True,0.0007785115339975437,0.0010730438755898256,1170.9480487368264,True,0.0007708482184298512,0.0010622612879154533,0.95,0.000915462440909366,starbeast,1.002172032717345,0,T2,0.0008203855299292507,seed1234
True,0.0006651310112354013,0.004220167378349797,3658.8602709931183,True,0.0004987373041257452,0.0037795962032852936,0.95,0.002018912085734136,ecoevolity,1.0004908840937956,1,root,0.0030122597718023275,seed1234
False,0.002494212096802484,0.002836832550928037,4000.0,False,0.002492921050244367,0.0028328488348097346,0.95,0.002662149979484681,ecoevolity,1.0006716881580795,1,T1,0.0024590641932656287,seed1234
True,0.0015666220525867075,0.0018251587003267427,3001.852354452929,True,0.0015675059771558335,0.001825513789844264,0.95,0.0016929837181944903,ecoevolity,0.9999573921152156,1,T2,0.0018148437146778343,seed1234
True,0.0020492434741531764,0.00401863048630844,896.1548505708827,True,0.0019963745123389148,0.003951847000476867,0.95,0.0029767395290341697,starbeast,1.0037192031283897,1,root,0.0030122597718023275,seed1234
True,0.002340140063677684,0.003046406769120518,3087.043982089636,True,0.002321621188475856,0.0030225713771911663,0.95,0.002671962039987592,starbeast,1.0000695273756546,1,T1,0.0024590641932656287,seed1234
True,0.0014731221814607868,0.0019716538262678127,1631.6949854915044,True,0.0014656630722942473,0.001957560793800214,0.95,0.0017043112515914692,starbeast,0.9999695107127388,1,T2,0.0018148437146778343,seed1234
True,0.0006340805972650973,0.004394885639635089,2722.856701137709,True,0.00046041425806651697,0.004032834258442332,0.95,0.002112267264416412,ecoevolity,1.0020837389375121,2,root,0.002018985332045553,seed1234
False,0.00481053481869456,0.005313770820135122,3584.563482568609,False,0.004809075940497544,0.005311410132716674,0.95,0.005058569923733453,ecoevolity,1.0001504238342098,2,T1,0.004800941634702649,seed1234
False,0.0022414127385302763,0.0025592057547294328,3255.494174248639,False,0.0022384515433640337,0.002552335512488253,0.95,0.0023973650273288803,ecoevolity,1.0001414791047354,2,T2,0.002571585943528066,seed1234
True,0.0009410075493275422,0.002846269886177664,301.23859850923697,True,0.0009000908054159972,0.0027793085513242964,0.95,0.0018387217403341906,starbeast,1.0013622911334543,2,root,0.002018985332045553,seed1234
True,0.004234148723231383,0.005434276984628937,3493.848598191863,True,0.0042102939668439525,0.005403101606947019,0.95,0.004803679589640796,starbeast,1.0001295167519686,2,T1,0.004800941634702649,seed1234
True,0.00204080826561464,0.002652293116753174,2272.241090873258,True,0.002045298192303785,0.0026549849373297533,0.95,0.002335291164830376,starbeast,1.000153755433571,2,T2,0.002571585943528066,seed1234
True,0.0006800789813142966,0.0041083856134635464,2677.889989809992,True,0.000511695876075021,0.0037475877582494634,0.95,0.0020171725874938667,ecoevolity,1.000800575752134,3,root,0.001080109518788593,seed1234
True,0.0016793807090605725,0.0019564519711607552,4000.0,True,0.0016851786621664864,0.0019602934660113845,0.95,0.001816545797207564,ecoevolity,0.9999476805354264,3,T1,0.0017249684145824449,seed1234
True,0.0012637653257017106,0.0015084193829224468,3229.8469858781127,True,0.0012619413599521524,0.001501551301516037,0.95,0.0013843277675414456,ecoevolity,0.9998509206984016,3,T2,0.0013327375805099475,seed1234
True,0.00046067513069946505,0.002190759945965813,227.55147184536628,True,0.00041403668855584467,0.0021135733260181527,0.95,0.0012647387315524393,starbeast,1.0037081188138115,3,root,0.001080109518788593,seed1234
True,0.0015281709672584265,0.002012716996186848,2586.6487176739565,True,0.0015159499659635552,0.0019959267981745628,0.95,0.0017580224829690336,starbeast,1.0002606998643422,3,T1,0.0017249684145824449,seed1234
True,0.0011807920101229914,0.0015815453530924881,1877.2050703504806,True,0.001175456305225545,0.0015739807928057698,0.95,0.0013676896346063894,starbeast,1.0005534099315685,3,T2,0.0013327375805099475,seed1234
True,0.0006498681295586179,0.0032150726300184482,2254.507229754156,True,0.0006489759362352205,0.003206073281474704,0.95,0.0018443970273526239,ecoevolity,1.0006768423746513,4,root,0.0008996096130802556,seed1234
False,0.0008419819239694858,0.001038161483929792,4000.0,False,0.0008429339805174679,0.0010385022424277562,0.95,0.0009356385986143526,ecoevolity,0.9998986325037836,4,T1,0.0011201831222600665,seed1234
