method,replicate,true,mean,red_fac,ess,interval,ci_lower,ci_upper,ci_covered,hpd_lower,hpd_upper,hpd_covered,taxon,seed
starbeast,0,0.001959003467178277,0.004294128824848132,1.0002929927762982,3381.551131800869,0.95,0.0037934072078380093,0.0048408203041497245,False,0.0037657810404975135,0.004809633941579688,False,T2,seed166
ecoevolity,0,0.0017775297820521688,0.006056779644641629,0.9998778535224347,4000.0,0.95,0.005572106844017692,0.00655454670142706,False,0.005593898015311181,0.006567785297584496,False,root,seed60
ecoevolity,0,0.002278161174635253,0.004898816149770876,1.000169690479525,4000.0,0.95,0.004398543751747452,0.005438484239618356,False,0.004385208775205641,0.005415173404141836,False,T1,seed60
ecoevolity,0,0.001063253064339197,0.002069580587423468,1.0000607524260747,3651.316704322098,0.95,0.0018688942932289935,0.002278728319837643,False,0.0018584596108132368,0.0022634079211378178,False,T2,seed60
starbeast,0,0.0017775297820521688,0.005826453844338718,1.001049304717675,2359.6392289887235,0.95,0.0051034792752221,0.006631457615918197,False,0.005058839493955387,0.006572569826421329,False,root,seed60
starbeast,0,0.002278161174635253,0.004124017089910902,1.002393819144035,3055.1085953495467,0.95,0.0034897635904941877,0.004858167507206175,False,0.003476919980865393,0.004839271995110575,False,T1,seed60
starbeast,0,0.001063253064339197,0.001923248971473653,0.9999605621206876,2024.0050338116464,0.95,0.0016495224104800196,0.0022408383074164926,False,0.0016463660578241188,0.0022331798322680527,False,T2,seed60
ecoevolity,0,0.003259203356575612,0.002026752520086429,1.0005203728965602,3042.8934707363856,0.95,0.0006527884417085829,0.004028521713590107,True,0.0005245130831926314,0.0037340824440644156,True,root,seed147
ecoevolity,0,0.0027678035688426623,0.005109114441603664,0.9997620593932919,4000.0,0.95,0.004871351530051373,0.005341332427680252,False,0.004878488170286292,0.005344781384247522,False,T1,seed147
ecoevolity,0,0.0025199075326647787,0.0044810960538058265,1.0008599648324688,3297.1673588205463,0.95,0.00426627487720472,0.004702758332554661,False,0.004262480451855584,0.004696276337881305,False,T2,seed147
starbeast,0,0.003259203356575612,0.00161517856617138,1.0009236248141666,194.31287299835415,0.95,0.000649139024706125,0.003072391465198128,False,0.0005519551989257805,0.0028771109972789014,False,root,seed147
starbeast,0,0.0027678035688426623,0.004837715133543529,0.9999858179185812,3614.447331688826,0.95,0.004292564486835977,0.005435517452795327,False,0.0042586146838999375,0.005392873773769639,False,T1,seed147
starbeast,0,0.0025199075326647787,0.00421693414810041,1.0003969507651247,3239.7869874261805,0.95,0.003737608972395604,0.004748016104903006,False,0.003717317108750442,0.00471931309979716,False,T2,seed147
ecoevolity,0,0.0009744250671658757,0.002035775274975675,1.0005642947265379,4000.0,0.95,0.0006476510102896922,0.004165190546602525,True,0.0004864898134221417,0.0037755442062330133,True,root,seed177
ecoevolity,0,0.004364950802939084,0.01005419506595668,0.9997189852465931,3614.993397769464,0.95,0.009730504130294193,0.010395710949935888,False,0.009723477189285895,0.010383699419046278,False,T1,seed177
ecoevolity,0,0.0031697331357508434,0.005595076106011528,1.000425380785266,3703.446654258556,0.95,0.005346811450102921,0.005841890050132048,False,0.0053450332275232935,0.0058387679204662795,False,T2,seed177
starbeast,0,0.0009744250671658757,0.0016089226685571793,1.0050719789999285,174.92638849472684,0.95,0.0005892585842840236,0.0032569150017356576,True,0.00047597456426172756,0.0029437956126852328,True,root,seed177
starbeast,0,0.004364950802939084,0.008942873718018909,1.0002779506751909,4550.583601311929,0.95,0.007985928896911805,0.009982783361080588,False,0.007971130264469658,0.009964301998994785,False,T1,seed177
starbeast,0,0.0031697331357508434,0.005223798979909577,1.0010652022238078,2965.6458270131957,0.95,0.0046201715525426715,0.005877961351722827,False,0.004599199036884524,0.005844270480393341,False,T2,seed177
ecoevolity,0,0.0015059462246400858,0.016937672777071318,0.9998059266557908,3300.826314867609,0.95,0.015239999638471375,0.01858174114815361,False,0.015270880737509972,0.018600349345535252,False,root,seed120
ecoevolity,0,0.0014878084225303776,0.002092127114210385,0.9996871511181304,3922.763868396648,0.95,0.001947446768429981,0.0022434790921678108,False,0.0019437837076689921,0.0022353338118996768,False,T1,seed120
ecoevolity,0,0.004305532133751954,0.009361922576197236,1.000014157163519,3349.911283392967,0.95,0.008482624081077094,0.010228883089053198,False,0.00847059291682236,0.010205325514662385,False,T2,seed120
starbeast,0,0.0015059462246400858,0.0019457521655256624,1.0157067176594985,278.2146792203045,0.95,0.0010699094029402517,0.002988492177949171,True,0.0010308732181047646,0.002917613996275869,True,root,seed120
starbeast,0,0.0014878084225303776,0.00223208296023726,1.0024524216794863,2213.806247587881,0.95,0.0019530085059187546,0.002547513702517208,False,0.0019481210803566078,0.002538916372204627,False,T1,seed120
starbeast,0,0.004305532133751954,0.010617755225666341,1.0003749574931171,5457.09609935599,0.95,0.009450584761371929,0.011925784950170043,False,0.00939220582964835,0.011836808488258068,False,T2,seed120
ecoevolity,0,0.0021204846345917647,0.00203589686825402,1.0005934497106137,2869.1751228348853,0.95,0.0006425746903299817,0.004149119756649837,True,0.0005129959223298507,0.003754318795210968,True,root,seed5
ecoevolity,0,0.0014585900993441699,0.0023116069460078553,1.0001121664686985,3316.256249949968,0.95,0.002153198804492709,0.0024713738591168703,False,0.0021550876836762306,0.0024720157564755807,False,T1,seed5
ecoevolity,0,0.0029681054072106285,0.005942853895405137,1.0001025711894274,4000.0,0.95,0.005691771219468374,0.0061981794042086,False,0.005690882550211714,0.006192752498814692,False,T2,seed5
starbeast,0,0.0021204846345917647,0.0015776246918477984,1.0007562297771937,224.60672730905398,0.95,0.0006503130223744684,0.002948575978172759,True,0.0005124506063876356,0.002717366718765969,True,root,seed5
starbeast,0,0.0014585900993441699,0.0022226400496358086,1.0002263160690652,1584.9593080401785,0.95,0.001939741579451407,0.0025459855764906553,False,0.001924884653437139,0.002523496478070417,False,T1,seed5
starbeast,0,0.0029681054072106285,0.005514986246320867,0.9999070169286324,3178.1611962556653,0.95,0.0048899340740374,0.006197004740243098,False,0.004870376712802264,0.006168220598137367,False,T2,seed5
ecoevolity,0,0.003724772702328479,0.002009722204912316,1.0009569684978632,3659.206765372669,0.95,0.0006251737038159525,0.00412812365431721,True,0.0004858257993912874,0.003828110677209642,True,root,seed18
ecoevolity,0,0.0028091890130524017,0.005402607370105747,0.9996367645809368,3243.8741534763,0.95,0.00515770055492149,0.005654552152169033,False,0.005163636151053965,0.0056573472549957685,False,T1,seed18
ecoevolity,0,0.0013483703995129336,0.0018063844614116266,0.9999187466256186,4000.0,0.95,0.001676316044164149,0.0019508988918216,False,0.0016711170627877222,0.001943060270795489,False,T2,seed18
starbeast,0,0.003724772702328479,0.0048177947533710646,0.9998742134771371,1127.122457580946,0.95,0.003396337613147205,0.006489321276179947,True,0.0032778186942275227,0.006346119914445632,True,root,seed18
starbeast,0,0.0028091890130524017,0.004947788850465388,1.000683303211212,4953.014609181013,0.95,0.004392646620363565,0.005573033122682946,False,0.004333780298895307,0.005504158188579513,False,T1,seed18
starbeast,0,0.0013483703995129336,0.0017391425918598436,1.0013114349464751,2031.664355726631,0.95,0.0015144378173813993,0.0019915921008015693,False,0.0015035993035537806,0.001977843227962003,False,T2,seed18
ecoevolity,0,0.004504546112140397,0.0020178252091770576,1.0016922978994691,3241.367676333385,0.95,0.0006483165223800638,0.004187218830571669,False,0.0004869649837287953,0.003789285388115156,False,root,seed183
ecoevolity,0,0.0027692247857664942,0.004154776032893061,0.9999654062965236,3438.885296676294,0.95,0.003939968781910292,0.004367093449926477,False,0.0039546182949378025,0.004376468471716198,False,T1,seed183
ecoevolity,0,0.002435260353924268,0.0039533445360936965,0.9999160964846264,3257.8350479830183,0.95,0.0037530209056096564,0.004165659807799032,False,0.0037530209056096564,0.0041639774396788655,False,T2,seed183
starbeast,0,0.004504546112140397,0.0017611097475082817,1.0022189463143216,189.14661056741124,0.95,0.0007559523352696575,0.0033704617694078746,False,0.0006628737804213184,0.003100583740795641,False,root,seed183
starbeast,0,0.0027692247857664942,0.004083725693099343,0.9999465016920877,2523.1109447723834,0.95,0.0036131832761490904,0.0046101096056041365,False,0.003579617637489317,0.004567385475463368,False,T1,seed183
starbeast,0,0.002435260353924268,0.003711487761266788,1.000364471924291,3038.6141703834446,0.95,0.003269458346289295,0.004205737008295507,False,0.0032484499660844425,0.0041792371011759024,False,T2,seed183
ecoevolity,0,0.002961797377553789,0.0020477268921737413,0.9995659168109547,3871.141060954331,0.95,0.0006451214488436383,0.004255029922753045,True,0.00044420617384328563,0.00385239634764849,True,root,seed171
ecoevolity,0,0.0008064645098486362,0.0011455747819861155,1.0003040186350658,4000.0,0.95,0.0010387454509499401,0.001258002010925408,False,0.0010361862915246162,0.0012540340904316368,False,T1,seed171
ecoevolity,0,0.001242927946511168,0.0021045789924599143,1.000456474513759,2940.969542130411,0.95,0.0019564524527869343,0.00225665977401812,False,0.0019543589125753827,0.002252473346183828,False,T2,seed171
starbeast,0,0.002961797377553789,0.001286837351299726,1.0034970655460542,181.65430557778183,0.95,0.0004837860329353836,0.0025265843397588267,False,0.0004063922237070069,0.002364468952823984,False,root,seed171
starbeast,0,0.0008064645098486362,0.0011966419528595205,1.0005320042806611,1303.438599521064,0.95,0.0010253596305321703,0.00138687551179047,False,0.0010280446793555962,0.0013886094478410276,False,T1,seed171
starbeast,0,0.001242927946511168,0.0021602275682003733,0.9998894776839344,1735.6123615424235,0.95,0.0018915384220483148,0.0024602090527647983,False,0.0018827716584290386,0.0024486880067054787,False,T2,seed171
ecoevolity,0,0.0023542512400006733,0.00199017591146616,0.999924231099638,3772.4874649408557,0.95,0.0006747658366266057,0.0040922438718347465,True,0.0004559485660954277,0.0036578425045127798,True,root,seed136
ecoevolity,0,0.003299293617881996,0.008077051936294039,1.0004123763687691,3970.2991849260084,0.95,0.0077824675543169295,0.008374719001239716,False,0.0077852756623944435,0.008376370796753158,False,T1,seed136
ecoevolity,0,0.0008536472542632952,0.0011477533884728364,0.9999903090438804,4000.0,0.95,0.0010386765870327747,0.0012626418343232536,False,0.0010324040567143828,0.0012537596689058727,False,T2,seed136
starbeast,0,0.0023542512400006733,0.0020952561936352226,1.000304950211132,201.70275602533272,0.95,0.0008672338315648383,0.003705934828682617,True,0.0007417379967619394,0.003458478725416432,True,root,seed136
starbeast,0,0.003299293617881996,0.00709986006306684,0.9999917373362242,4157.957153624177,0.95,0.006315636004448472,0.00794069136651908,False,0.006268119699211997,0.007883187959387548,False,T1,seed136
starbeast,0,0.0008536472542632952,0.0011588635693402414,1.0006602336905763,1036.253995593344,0.95,0.000992799147178425,0.001344000856484077,False,0.0009853606371662924,0.001333615418481073,False,T2,seed136
ecoevolity,0,0.003039014890430163,0.0020075355315297017,1.0000379977886829,4000.0,0.95,0.0006363709085874967,0.004133226744786189,True,0.0004458918458857642,0.0037691203201182908,True,root,seed195
ecoevolity,0,0.0009461827132190752,0.0013097175567457569,1.000442260525409,4000.0,0.95,0.0011965646276639215,0.0014289744737793065,False,0.0011899567765260698,0.0014217960573997394,False,T1,seed195
ecoevolity,0,0.0020626149316379408,0.003545630823118981,0.9998253968574312,3195.71553060216,0.95,0.0033544136193754764,0.0037476628382090006,False,0.0033594352883323138,0.003750505491807821,False,T2,seed195
starbeast,0,0.003039014890430163,0.0024929139860136343,1.0088260941325435,348.32604424515233,0.95,0.0011426085474418599,0.003832479783026906,True,0.0011315739011376722,0.0038027092570371845,True,root,seed195
starbeast,0,0.0009461827132190752,0.0012823623060232126,1.0007046171114344,1383.7977098775275,0.95,0.0011069952283070932,0.0014789843921810945,False,0.0010950548263177322,0.0014602777232761391,False,T1,seed195
starbeast,0,0.0020626149316379408,0.0032786351000513056,0.9999789720970076,3190.374516415309,0.95,0.0028876209963750233,0.003705335355515625,False,0.0028810195791924343,0.003696599243046622,False,T2,seed195
ecoevolity,0,0.0013947293734951696,0.002027842071049623,0.9997186577062837,4000.0,0.95,0.0006393735592198727,0.004168058857887529,True,0.00042958841739769703,0.003765071351796993,True,root,seed187
ecoevolity,0,0.001865460027710796,0.003662301474910494,0.9995963108208084,4000.0,0.95,0.003472297315336513,0.003854956644444392,False,0.0034696125971569497,0.0038494778623461095,False,T1,seed187
ecoevolity,0,0.002759982149097015,0.0060572983045774345,1.0006622636278917,3696.448303111078,0.95,0.005799979166067415,0.006318911539453877,False,0.0057965814425732795,0.006311187235303224,False,T2,seed187
starbeast,0,0.0013947293734951696,0.001164714985979515,1.0262467963651891,197.38602901771682,0.95,0.000406637347338837,0.0021963654147068613,True,0.0003278706050179997,0.002011582563099137,True,root,seed187
starbeast,0,0.001865460027710796,0.0035825867088244445,1.0002681058514795,1864.7235402663148,0.95,0.0031687976658185163,0.004053620512045891,False,0.0031618531798358147,0.0040342877007307106,False,T1,seed187
starbeast,0,0.002759982149097015,0.005544042144634163,1.0000184560313592,4027.5282331363055,0.95,0.004934903860108717,0.006248858489454707,False,0.0049164645292924455,0.006207018281827684,False,T2,seed187
ecoevolity,0,0.0019149277097438124,0.006476932988882075,0.9995756761808108,4000.0,0.95,0.006063475059479111,0.0069078044007151,False,0.0060409588759960465,0.006880252578377509,False,root,seed113
ecoevolity,0,0.0029416149352458148,0.006250537539473093,0.999631135147593,3649.0634042288643,0.95,0.005517792895467767,0.007034467199263282,False,0.005493489860272293,0.006999523633065517,False,T1,seed113
ecoevolity,0,0.0016327811015826226,0.002672856974342937,0.9995972226943678,4000.0,0.95,0.0023769335389222253,0.002983015205623727,False,0.00237671372894635,0.0029806847395742603,False,T2,seed113
starbeast,0,0.0019149277097438124,0.005818870279008494,0.9999417988252784,2576.208647774566,0.95,0.005169862700576512,0.006528249224331901,False,0.0051402524282113116,0.006490836160429643,False,root,seed113
starbeast,0,0.0029416149352458148,0.005212202197880488,0.9999940450761252,2137.493701821318,0.95,0.004321930718034568,0.00624332519504717,False,0.004295401956345185,0.006201749732665721,False,T1,seed113
starbeast,0,0.0016327811015826226,0.00243212491129256,1.0003458136397865,1536.3911871972114,0.95,0.0020664802070736264,0.0028526814404771397,False,0.0020597143017505627,0.0028404930525046464,False,T2,seed113
ecoevolity,0,0.0017144829262838947,0.0020574041377596046,1.0004381422435868,3735.356929600304,0.95,0.0006374761582783043,0.004276791560839386,True,0.000454445134097014,0.003890842079884372,True,root,seed91
ecoevolity,0,0.002581279873115956,0.004652692846293262,1.0001995519042413,4000.0,0.95,0.0044310644812789336,0.004887544549908217,False,0.0044219108327358345,0.0048761211206817725,False,T1,seed91
ecoevolity,0,0.003389014338965652,0.008419934750660088,1.0000444076987371,4000.0,0.95,0.008105903494620672,0.008743412899708598,False,0.008105304908057125,0.008739447441479005,False,T2,seed91
starbeast,0,0.0017144829262838947,0.0018990084854106895,1.0000724721679377,257.08809639964,0.95,0.0008453298931707534,0.003205831879215104,True,0.0008016109230485213,0.0031174013589200834,True,root,seed91
starbeast,0,0.002581279873115956,0.004472709267121341,1.0002640841297117,3073.0492288323,0.95,0.003942413232467128,0.005059831575656968,False,0.003924410726139337,0.005034552375574232,False,T1,seed91
starbeast,0,0.003389014338965652,0.007233200849813832,1.0000678938738532,3616.6920812757894,0.95,0.0064485701204224045,0.008089337905408016,False,0.006435304749037568,0.008068891695278637,False,T2,seed91
ecoevolity,0,0.0012903697856015035,0.0020149544690075878,0.9998374087530322,4000.0,0.95,0.0006569486744759122,0.004166708484115754,True,0.0004845525988512754,0.0037314627537670376,True,root,seed81
ecoevolity,0,0.0012057095601758154,0.0017317282846882624,0.9997304404744496,4000.0,0.95,0.0015922233416721793,0.0018684428582467637,False,0.0015860647896865506,0.001859785836832105,False,T1,seed81
ecoevolity,0,0.003828446479490683,0.010064444755094213,0.9999693973618032,2643.0394944091704,0.95,0.009726363079798607,0.010407710070607916,False,0.009700733599824268,0.010376140300000388,False,T2,seed81
starbeast,0,0.0012903697856015035,0.0013194119646198561,1.0003338224235947,173.73795729589008,0.95,0.0003651616213800397,0.0024796902790700038,True,0.0002580970847659088,0.0022622213930876397,True,root,seed81
starbeast,0,0.0012057095601758154,0.0017306526609987439,1.0014011280334691,1286.2024184896984,0.95,0.0015009505547333053,0.001989167703207721,False,0.0014836577531379155,0.001966781625433244,False,T1,seed81
starbeast,0,0.003828446479490683,0.008566969765502386,0.9998794507810714,3945.2164158075893,0.95,0.007668198214894516,0.009561029908142088,False,0.00765218213380785,0.009529389952468098,False,T2,seed81
ecoevolity,0,0.0018172035278647288,0.0020656047239008928,0.999607465884674,4000.0,0.95,0.000681717591191524,0.004227135884161277,True,0.0005485530991135947,0.003973527573759014,True,root,seed121
ecoevolity,0,0.00290000438390163,0.007157631668967644,0.9997470681881016,4000.0,0.95,0.006868330333965752,0.007451161727509202,False,0.006866276310057822,0.007446381161636094,False,T1,seed121
ecoevolity,0,0.001335261690644451,0.0021824708210768204,1.0001100429649283,4000.0,0.95,0.0020324782478250334,0.002337819272255489,False,0.002030044047012456,0.002333731333261077,False,T2,seed121
starbeast,0,0.0018172035278647288,0.002361848003971227,0.9999069896148984,471.11736785561965,0.95,0.0012577699877232972,0.0035656428450965764,True,0.0011882415645415904,0.003486853944457823,True,root,seed121
starbeast,0,0.00290000438390163,0.006459390674468619,0.999873820563206,4247.120051232683,0.95,0.005738813294725337,0.0072307680798064655,False,0.005732760763684823,0.007217314878567475,False,T1,seed121
starbeast,0,0.001335261690644451,0.002152602909209964,1.0000947059947385,2049.6809890339073,0.95,0.0018791864317102113,0.0024662719086038986,False,0.0018556955213006282,0.002439683248252134,False,T2,seed121
ecoevolity,0,0.0009434017876584864,0.0019876606176663274,1.0002335833662641,3475.709168596525,0.95,0.0006275299583270274,0.004000698944863196,True,0.00042525807908533537,0.003667934532381232,True,root,seed28
ecoevolity,0,0.0010595410281717774,0.0021480042607425853,1.0006012491057503,2964.452538600483,0.95,0.001997431029898161,0.0023035414174474404,False,0.001997177701833437,0.002300746882747631,False,T1,seed28
ecoevolity,0,0.0015426642802744473,0.003389925798294158,1.0001658605380008,3172.342400114115,0.95,0.003195370224520468,0.003586383133522089,False,0.0031872840115609274,0.0035683714270261404,False,T2,seed28
starbeast,0,0.0009434017876584864,0.0011764365639909278,1.022679253178518,225.35191504266567,0.95,0.0004534455544334633,0.0020539226466442673,True,0.00037691583188770214,0.0019352559345808954,True,root,seed28
starbeast,0,0.0010595410281717774,0.002121134736828432,1.0010095742370009,2443.9455922028023,0.95,0.0018569602050205753,0.0024267564035103345,False,0.0018395817139811087,0.002400460830332557,False,T1,seed28
