method,replicate,true,mean,red_fac,ess,interval,ci_lower,ci_upper,ci_covered,hpd_lower,hpd_upper,hpd_covered,taxon,seed
ecoevolity,0,0.0003696769300349593,0.0019372604171971688,1.0001667903982572,2490.274804088036,0.95,0.0006560041463423897,0.0037176742268548017,False,0.0005601276979896081,0.003549392987163542,False,root,seed170
ecoevolity,0,0.0019061342849283527,0.0006910120977359113,0.9995217095151772,4000.0,0.95,0.000610078204318595,0.0007785832499763582,False,0.0006081492504264997,0.0007751920656240563,False,T1,seed170
ecoevolity,0,0.001895521102780966,0.0007209668548337975,0.9998233396786026,3868.541964487959,0.95,0.0006371874392974532,0.0008095131658229923,False,0.0006387031826209856,0.0008103396626362773,False,T2,seed170
starbeast,0,0.0003696769300349593,0.0005198545254702138,1.0021926852651988,309.52071802168086,0.95,0.00021048688846744023,0.0009190912856400838,True,0.00019009603863799992,0.0008889687301163092,True,root,seed170
starbeast,0,0.0019061342849283527,0.0007126494575127975,1.0020103011182857,1383.5285235893766,0.95,0.0005982494144053496,0.0008439777570715173,False,0.0005949867249917254,0.0008378107052242138,False,T1,seed170
starbeast,0,0.001895521102780966,0.0007449099389446412,1.0083425432610105,1771.1386406188535,0.95,0.0006272787962934469,0.0008798177920695168,False,0.0006223500716279738,0.0008704893022848727,False,T2,seed170
ecoevolity,0,0.0019260892294847773,0.0020017613057239808,1.000319149974798,3671.8542456087707,0.95,0.0006653606788809696,0.004069495468182885,True,0.0005378825483888657,0.0037750008629245453,True,root,seed48
ecoevolity,0,0.002541179545199557,0.0009468873210715492,1.000190571905306,3496.491253987905,0.95,0.0008502456460120726,0.001049499422877016,False,0.0008426981779513383,0.0010387704902608227,False,T1,seed48
ecoevolity,0,0.0018052851491239593,0.0008882881936610572,1.000670068082529,2849.1162865306824,0.95,0.000793707741769784,0.00098965108955827,False,0.0007895867765865608,0.0009829887035584489,False,T2,seed48
starbeast,0,0.0019260892294847773,0.0007682606653184116,1.0017933597769302,268.4792542061801,0.95,0.0003307637452841705,0.0013714800706355018,False,0.0002973608221087263,0.0013164929642633981,False,root,seed48
starbeast,0,0.002541179545199557,0.0009741695481608203,1.0021226696570922,1464.8896929958748,0.95,0.000830200078953622,0.001139203186518953,False,0.0008224307019314593,0.0011291815695349745,False,T1,seed48
starbeast,0,0.0018052851491239593,0.000911764580022174,0.9999783776109162,1221.0630737624153,0.95,0.0007720312917301379,0.0010637702837478977,False,0.0007665152420633899,0.0010568717332104026,False,T2,seed48
ecoevolity,0,0.0010013288893731204,0.0019414450134541945,0.9996465160525064,2906.114337334968,0.95,0.0006339147144533644,0.003934982692998214,True,0.0005424516524099154,0.003655051452522288,True,root,seed188
ecoevolity,0,0.003306244483170898,0.001000242837740484,0.9995949673563236,3715.4338233882286,0.95,0.0008991066508052371,0.0011050779864309216,False,0.000906776564318218,0.0011114925189734176,False,T1,seed188
ecoevolity,0,0.0012735973619254193,0.000514359243233591,1.000852340476999,2614.7961621772142,0.95,0.00044475320169269015,0.0005900076166015571,False,0.00044133266812279055,0.0005851049810964747,False,T2,seed188
starbeast,0,0.0010013288893731204,0.0005498383264460313,1.0198494181893984,220.7511027393109,0.95,0.00018914607399055387,0.0010017405109759502,True,0.00015764234446423125,0.0009437532944335588,False,root,seed188
starbeast,0,0.003306244483170898,0.0010513442375812887,1.0021169351329309,1638.3113180286398,0.95,0.0008948631044685217,0.0012258807211760286,False,0.0008854032108001586,0.0012118811477965633,False,T1,seed188
starbeast,0,0.0012735973619254193,0.0005424138366286309,1.0002029768565457,819.0103262890523,0.95,0.0004501611627118881,0.0006512049438092607,False,0.00044165507667048967,0.0006417500455970882,False,T2,seed188
ecoevolity,0,0.0010437593922587528,0.002046312958114266,0.99987860605103,3953.085804887733,0.95,0.0006920515104036591,0.004150151348826314,True,0.0005750138722874327,0.0038255843559519705,True,root,seed194
ecoevolity,0,0.0013066904017826726,0.0007969406595710199,1.0003219619571695,3889.496545718224,0.95,0.0007105571909294642,0.000889363656935331,False,0.0007124145922577153,0.0008901517011042142,False,T1,seed194
ecoevolity,0,0.002172484084255549,0.0011207869902067678,1.0000661002098763,4000.0,0.95,0.0010161587778936988,0.0012302959895502368,False,0.0010140518498475675,0.001226208880068957,False,T2,seed194
starbeast,0,0.0010437593922587528,0.0010674568208572275,0.9999774031013016,181.897559004931,0.95,0.00026086668275073817,0.00203442270369668,True,0.0002240819897128296,0.001977943238300828,True,root,seed194
starbeast,0,0.0013066904017826726,0.0008070620736059013,1.0069179240635804,744.8270320830912,0.95,0.0006840050956121557,0.0009464450266054783,False,0.0006836588511163496,0.0009453799184884334,False,T1,seed194
starbeast,0,0.002172484084255549,0.0011613037653118714,0.999874133340096,1292.7085527459199,0.95,0.000996660384530432,0.0013420605666341694,False,0.0009923962720555562,0.0013350663009156266,False,T2,seed194
ecoevolity,0,0.002008653265632202,0.0001925434680132272,0.9999046628726428,3591.589075616037,0.95,0.00010813645284931616,0.00028938778224886887,False,0.00010248577346653364,0.00028179759360539604,False,root,seed193
ecoevolity,0,0.001564375905694895,0.00035945763705879454,1.00019607522774,4000.0,0.95,0.0002675913646374868,0.00047311070264000575,False,0.00026066266305102483,0.00046066831370215276,False,T1,seed193
ecoevolity,0,0.0027789756242176658,0.0005650802235348759,1.000274592855659,3002.8118880322754,0.95,0.00041312407107372564,0.0007707949629987157,False,0.0003997192222024456,0.0007505399046620032,False,T2,seed193
starbeast,0,0.002008653265632202,0.00033577380408668313,1.6769738454831378,88.28726520448723,0.95,0.00010580217024224992,0.0008572351332369044,False,9.0528092471213e-05,0.0008325963519069368,False,root,seed193
starbeast,0,0.001564375905694895,0.00028330920312586366,1.6550868464362551,92.41918698656653,0.95,2.0888658855055192e-09,0.0005124754396280627,False,7.509787440049951e-10,0.0004856782322492839,False,T1,seed193
starbeast,0,0.0027789756242176658,0.00039973023343902695,1.6385915439191652,92.29893494526031,0.95,2.2193766269425406e-09,0.0007188970478509155,False,8.513510516167776e-10,0.0006811691716240637,False,T2,seed193
