method,interval,taxon,coverage
ecoevolity,ci,T1,0.03015075376884422
ecoevolity,ci,T2,0.02512562814070352
ecoevolity,ci,root,0.8190954773869347
ecoevolity,hpd,T1,0.03015075376884422
ecoevolity,hpd,T2,0.020100502512562814
ecoevolity,hpd,root,0.8291457286432161
starbeast,ci,T1,0.02512562814070352
starbeast,ci,T2,0.020100502512562814
starbeast,ci,root,0.6733668341708543
starbeast,hpd,T1,0.02512562814070352
starbeast,hpd,T2,0.020100502512562814
starbeast,hpd,root,0.6532663316582915
